	2,3-diP-glyceric Acid To	2,3-dihydroxyisovaleric 	2-hydroxy-3-methylbutryi	2-methylcitric Acid	2P Glyceric and 3P Glyce	3-Deoxy-2-keto-6P-glucon	6P Gluconic Acid	ADP Total	AMP Total	ATP Total	Butyric Acid	Cis-Aconitic Acid	Citraconic and Itaconic 	Citric Acid	Cyclic AMP	Erythrose 4P	Fructose 1,6-bisP	Fructose 6P	Fumaric Acid	GDP Total	GMP Total	GTP Total	Galactose 1P	Gluconic Acid	Glucosamine 1P	Glucose 1P and Mannose 1	Glucose 6P	Glyceric Acid	Glycerol 3P	Isocitric Acid	Malic Acid	Mannose 6P	Mevalonic acid	Phosphoenolpyruvic Acid	Pyruvic and Oxaloacetic 	Sedoheptulose 7P	Succinic Acid Total	Trans-Aconitic Acid	Xylonic Acid Total
C1	15.929258408637	13.3717766443379	20.3100801925779	16.0101784040205	16.1536311941017	9.75321674917896	11.3387363825739	16.6382096266336	14.8870301732477	15.1674181458317	20.8268711906575	16.1094225945841	14.2288186904959	23.4800051940202	13.2452555803066	10.5410966153495	9.60362634498619	12.8494051009478	13.813781191217	14.0532471259124	13.6662240028032	10.5698556083309	12.5579422867874	16.8726748802706	11.2644426002266	12.6211361132746	13.7206717868256	17.2041890239872	16.2137117981057	20.145693374677	18.943064208162	13.4120405145517	12.775198728898	12.6816776552097	17.804988072759	12.5933911227917	20.9243370000931	13.3717766443379	16.5995060973031
C10	14.7099453802325	13.2775780024157	18.86060204797	17.9373278386129	17.4415177156285	5.24031432933371	14.1984450414524	18.4814841229461	16.4704046770656	16.8726748802706	22.4118336913786	16.6937047392253	14.175237650291	23.5754247590989	13.5507467853832	7.80964952481896	8.91587937883577	14.2804808103184	13.3853231761759	15.7575983558239	14.7366133306946	13.1500645790815	12.6348110501717	21.1885791875302	13.0583300262057	13.3020676725265	15.3546626234741	18.283196898427	16.2437690319619	20.194602975158	18.7955070197481	14.3020676725265	14.4893462407191	13.6662240028032	18.194602975158	13.8336807486547	20.535639892993	14.9012440324674	20.1078913419646
C100	14.4317587491662	12.3359485652023	19.3516466853035	15.444756089695	16.6800298023282	9.26209484537018	12.8454900509444	18.1256556214405	16.7731392067197	16.6081970575671	20.8268711906575	16.4971657451784	15.2913146162296	23.8670283171295	13.2152296257479	8.65821203661803	10.2288186904959	13.6438561897747	13.9012440324674	15.4799065448328	15.5745935273376	12.8237652797897	12.0768155970508	17.86060204797	11.1357092861044	12.9996477365284	14.6382096266336	16.4153456592753	15.3886900272743	20.6800298023282	18.943064208162	13.1579784499454	12.5191447879974	12.8745971924016	18.047933326016	13.813781191217	20.5068809000116	14.1357092861044	17.0318734751199
C101	16.7471439981867	12.7418882727353	20.6540345937953	15.8237652797897	17.2967011627767	9.0	12.2258099406235	18.7405713442633	17.3145124388932	17.1256556214405	21.5638367848237	17.2786672399464	14.1437020768579	25.0019578972156	13.2288186904959	7.49711288730755	8.28443607583789	13.6096404744368	14.7523806465529	15.9338750367073	15.7392532125673	13.1324997296285	12.3608470841797	20.6275623824341	11.6882503091332	13.0481462542196	14.4893462407191	17.340823716009	15.7366133306946	21.5020315003502	19.7666841845824	13.813781191217	13.5386739530827	12.655083445198	17.9657842846621	12.3987436919382	20.9097641990058	14.4830599778717	18.2558031315947
C102	14.3303567169579	13.813781191217	18.7699153058454	16.9082987900013	15.1516508299734	8.24792751344359	8.61102479730735	15.4219333193101	14.2212850178105	14.4252159032994	22.3017328498644	17.1849528051243	14.9476369379518	24.5638367848237	13.5264992391366	6.92518809687684	6.88460132626403	13.5980525001616	14.8917837032183	13.3581017074408	14.7523806465529	10.5980525001616	12.0600203545079	19.7089356787746	13.2303207156611	11.8610869059954	13.7418882727353	17.0210667201633	16.4688149303032	21.145693374677	19.8861371400772	12.7418882727353	15.2250567716997	11.8177831217745	19.3233362892802	11.0633950812885	19.8299704293164	15.780847301855	19.9156109954212
C103	15.1984450414524	11.57931593758	18.4696100226578	16.145693374677	15.9476369379518	9.05799172275918	12.0292872269682	16.0950673016071	14.2585660338899	15.5142209093581	21.8651412075852	15.9747730678893	14.5142209093581	23.8093128192732	13.2804808103184	7.70043971814109	9.90538700501813	12.7648715907361	14.3785658100006	13.655083445198	15.2695650328392	11.7976615258538	11.2348174311173	17.7139771342515	11.868822554775	11.661778097772	13.0344550953272	17.6592712421614	15.1830150008828	20.2877123795495	19.2763970663216	12.393390457444	12.6073303137496	12.0701209444768	19.0345625626475	11.6662240028032	19.6868834733693	12.9311068330293	17.3145124388932
C11	16.0447356260569	11.876516946565	17.7666841845824	12.4893462407191	17.1256556214405	9.35755200461808	11.9143851321554	17.4496000619263	15.9476369379518	15.4186432493759	18.6522848118453	15.655083445198	14.7206717868256	24.2891205739423	12.3331553503106	9.27844945822048	9.21674585819531	12.1228279948077	13.5745935273376	14.8237652797897	14.2060986139958	11.6483575820097	11.1228279948077	17.2604050335537	10.4918530963297	11.8297227350861	13.5627194270493	18.1801034054629	15.2622416920333	19.7986742988268	19.047933326016	12.2934716488381	12.7270695580237	12.1000052244227	18.0743087414403	12.8435285346111	18.9257862167302	12.5338163894334	16.9082987900013
C12	13.5018371849023	12.2045711442492	20.1206023937142	17.175237650291	17.2231721273547	8.81698362325538	13.3162815317462	17.1556088435421	16.3056342875467	15.6466712053818	18.175237650291	15.532599438673	14.6662240028032	22.5092995008143	13.919980595049	10.8297227350861	10.4093909361377	13.9012440324674	14.1114617398577	14.8336807486547	14.4893462407191	12.0327345285867	13.1876613657391	20.3100801925779	12.270295326472	13.3987436919382	14.9612688035396	18.792332771953	17.0950673016071	19.2967011627767	19.4252159032994	13.2570931444911	13.9476369379518	13.2422809503024	18.1897859588602	14.1516508299734	19.0690720930741	13.4512111118323	18.9024222236647
C13	20.406653452273	13.0447356260569	19.6257801770921	16.2640760152822	18.110442527494	10.5980525001616	11.9031286768123	18.7827679079175	16.7206717868256	17.4333898347451	22.2707059542438	15.7497646983459	14.7936033092794	24.5285037117114	14.2137117981057	10.57931593758	10.8217739819706	13.3717766443379	14.9657842846621	15.8750773704859	14.8822609290998	12.9837061926593	13.4893462407191	17.8905967882679	12.7481928495895	14.0014081943928	15.1155314041668	17.9992072861995	17.3494885771361	20.8575679878804	19.8590858155227	14.8726748802706	13.5745935273376	13.3020676725265	18.8636297406676	13.5507467853832	21.6141418666718	14.4252159032994	17.535639892993
C14	14.8237652797897	11.6794800995054	20.6540345937953	14.0784844174114	17.1849528051243	9.45121111183233	12.7648715907361	17.2419086899363	16.2804808103184	15.6522848118453	18.5544989202443	15.0404609709566	14.6211361132746	23.3910001879615	12.1861142395416	9.31061278165953	8.82017896241519	12.9765641234153	13.6662240028032	14.828731532683	14.2659080092311	11.7772553151919	11.4146852358072	17.1654566294985	12.3219280948874	12.270295326472	14.1907506496624	19.2627004915414	16.1073805630459	19.3056342875467	19.0821282458996	13.2688343693438	12.6438561897747	12.2644426002266	18.0532471259124	13.0667619323869	19.0795264507113	12.4767462039395	16.8361490042455
C15	16.3303567169579	11.8533095554037	19.283196898427	15.6909801018888	19.0101784040205	9.93663793900257	14.0532471259124	19.8651412075852	18.4656301717453	18.1703554289113	21.7013403085736	16.7859632470773	14.4512111118323	23.8480452137619	14.4186432493759	11.6706562491184	11.0967151544885	14.8187818722754	15.0318734751199	17.2786672399464	16.5386739530827	14.0361736125535	14.5507467853832	18.8846475219367	12.2015113445001	14.7260052311286	16.3109677318498	18.5731145984117	17.616835975841	20.7634458105158	20.2184497171123	15.6325408765469	13.6882503091332	14.929258408637	18.7634458105158	15.7260052311286	21.2989396349727	14.0867996856235	17.6937047392253
