Submitted identifier,Found identifier,Resource
RPL3,P39023,UNIPROT
RPL3,Q92901,UNIPROT
RPL3,Q16566,UNIPROT
RPL3,P55011,UNIPROT
RPL3,Q15040,UNIPROT
HDLBP,Q00341,UNIPROT
HNRNPU,Q00839,UNIPROT
AHR,P35869,UNIPROT
EPRS,P07814,UNIPROT
RPL9,P32969,UNIPROT
DCAF7,Q9P244,UNIPROT
DCAF7,O60896,UNIPROT
DCAF7,P61962,UNIPROT
DCAF7,Q9H252,UNIPROT
GLS,Q9BYZ6,UNIPROT
GLS,Q9UKA2,UNIPROT
GLS,O94925,UNIPROT
RPS15,P62841,UNIPROT
SMCHD1,Q9BXX0,UNIPROT
PSMD7,P51665,UNIPROT
RPS16,P62249,UNIPROT
CHCHD3,Q9NX63,UNIPROT
CHCHD3,P62805,UNIPROT
SNRPD2,P62316,UNIPROT
SLCO2B1,O94956,UNIPROT
SLCO2B1,O94956-3,UNIPROT
SLCO2B1,Q9UQ49,UNIPROT
SAP30BP,Q7Z4N8,UNIPROT
SAP30BP,Q9UHR5,UNIPROT
TRAPPC2L,Q9UL33,UNIPROT
KRT1,P04264,UNIPROT
KRT8,P05787,UNIPROT
CNPY2,Q9H4P4,UNIPROT
CNPY2,P11474,UNIPROT
CSNK1D,P48730,UNIPROT
RPSA,P08865,UNIPROT
MAT1A,Q00266,UNIPROT
MIF,P03971,UNIPROT
MIF,ENSG00000240972,ENSEMBL
MIF,O75533,UNIPROT
MIF,P14174,UNIPROT
ACSL3,Q9NY47,UNIPROT
ACSL3,O95573,UNIPROT
ALG11,Q2TAA5,UNIPROT
ALG11,Q92665,UNIPROT
ALG11,P22059,UNIPROT
VRK2,Q86Y07-2,UNIPROT
EEF1A1,Q9H160,UNIPROT
EEF1A1,P60228,UNIPROT
EEF1A1,Q14376,UNIPROT
EEF1A1,P68104,UNIPROT
EEF1A1,Q15172,UNIPROT
RBP4,P02753,UNIPROT
CLDN3,O15551,UNIPROT
PRKAR1B,P31321,UNIPROT
NCL,P19338,UNIPROT
ERP29,Q9NY27,UNIPROT
TTLL12,Q14166,UNIPROT
RPP25,Q9BUL9,UNIPROT
SNRNP200,O75643,UNIPROT
C16orf62,Q7Z3J2,UNIPROT
IDI1,Q13907,UNIPROT
IDI1,Q13243,UNIPROT
IDI1,ENSG00000067064,ENSEMBL
RNASEH2B,P28067,UNIPROT
LYPD3,O95274,UNIPROT
SUPT6H,Q7KZ85,UNIPROT
SUPT6H,Q8TAW3,UNIPROT
PRPF8,Q6P2Q9,UNIPROT
STIP1,P31948,UNIPROT
STIP1,P56556,UNIPROT
RACGAP1,Q9H0H5,UNIPROT
RACGAP1,Q8N122,UNIPROT
RACGAP1,Q9GZX3,UNIPROT
RACGAP1,Q9H5Y7,UNIPROT
HLTF,Q14527,UNIPROT
HLTF,P07196,UNIPROT
NEU1,Q99519,UNIPROT
RPRD1B,Q9NQG5,UNIPROT
RAB6A,P20340,UNIPROT
NDUFV2,P19404,UNIPROT
HMGCLL1,Q8TB92,UNIPROT
TRMT1L,O14907,UNIPROT
TRMT1L,P12830,UNIPROT
FANCI,ENSG00000140525,ENSEMBL
FANCI,ENST00000310775,ENSEMBL
FANCI,Q9NVI1,UNIPROT
HSPA8,ENSG00000109971,ENSEMBL
HSPA8,P11142,UNIPROT
CAV1,Q03135,UNIPROT
CAV1,ENSG00000105974,ENSEMBL
ASNS,ENSG00000070669,ENSEMBL
ASNS,Q9Y2R5,UNIPROT
ASNS,P08243,UNIPROT
ASNS,P20366,UNIPROT
L1CAM,Q8NFA2,UNIPROT
L1CAM,Q8WVB6,UNIPROT
L1CAM,P32004,UNIPROT
NDC80,O14672,UNIPROT
NDC80,O14777,UNIPROT
MAVS,Q7Z434,UNIPROT
RPS29,P62273,UNIPROT
CDK1,O00512,UNIPROT
CDK1,ENSG00000170312,ENSEMBL
CDK1,P06493,UNIPROT
CDK1,P24941,UNIPROT
FAT1,Q9Y2P5,UNIPROT
FAT1,Q7L804,UNIPROT
FAT1,Q8IYU8,UNIPROT
GCLM,P48507,UNIPROT
NOP10,Q9NPE3,UNIPROT
NOP10,Q8TER5,UNIPROT
TOP2A,ENSG00000131747,ENSEMBL
TOP2A,P11388,UNIPROT
PYGB,P11216,UNIPROT
SETD3,Q86TU7,UNIPROT
HSP90AB1,P08238,UNIPROT
NUMA1,Q9Y484,UNIPROT
NUMA1,O43306,UNIPROT
NUMA1,Q14980,UNIPROT
CCDC47,Q9Y2R2,UNIPROT
CCDC47,P16284,UNIPROT
CCDC47,Q9HAU4,UNIPROT
GDI2,P50395,UNIPROT
RPLP0,ENSG00000089157,ENSEMBL
RPLP0,P21757,UNIPROT
RPLP0,P05388,UNIPROT
CLTA,Q14500,UNIPROT
CLTA,P09496-1,UNIPROT
CLTA,P09496,UNIPROT
SIPA1L3,Q15735,UNIPROT
SHH,Q96RQ3,UNIPROT
SHH,Q15465,UNIPROT
OPA1,O60313,UNIPROT
CSRP1,P21291,UNIPROT
CSRP1,ENSG00000159176,ENSEMBL
CSRP1,Q13835,UNIPROT
CSRP1,P19237,UNIPROT
CAPZB,P47756,UNIPROT
AP1G1,O94874,UNIPROT
AP1G1,O43747,UNIPROT
AP1G1,Q6ZVD8,UNIPROT
AP1G1,O75843,UNIPROT
C1QBP,Q07021,UNIPROT
KYNU,Q16719,UNIPROT
HIST1H1E,P10412,UNIPROT
C9orf64,Q2Y0W8,UNIPROT
ACP1,P47755,UNIPROT
LBR,P09455,UNIPROT
LBR,Q14739,UNIPROT
LBR,O76062,UNIPROT
CTNNBL1,Q8WYA6,UNIPROT
ACTR3,P61158,UNIPROT
RFC4,P35250,UNIPROT
RFC4,P35249,UNIPROT
IFNGR1,P38484,UNIPROT
IFNGR1,P15260,UNIPROT
IFNGR1,Q9H0C5,UNIPROT
PPP2R5C,Q13362,UNIPROT
PPP2R5C,Q9Y2X3,UNIPROT
MRPS7,Q9Y2R9,UNIPROT
HIST2H2BE,P06899,UNIPROT
HIST2H2BE,Q16778,UNIPROT
HIST2H2BE,P23527,UNIPROT
GCHFR,P30047,UNIPROT
MRPL53,Q96EL3,UNIPROT
C14orf166,Q9Y224,UNIPROT
THRAP3,Q9Y2W1,UNIPROT
PXDN,Q92626,UNIPROT
MVD,ENSG00000167508,ENSEMBL
MVD,P53602,UNIPROT
MCM6,Q14566,UNIPROT
CHMP7,Q8WUX9,UNIPROT
PRIM2,P49643,UNIPROT
RPL10,Q96L21,UNIPROT
RPL10,P27635,UNIPROT
ROCK2,O75116,UNIPROT
GSTP1,P09211,UNIPROT
NDUFB1,Q13951,UNIPROT
NDUFB1,O75438,UNIPROT
GLRX,P35754,UNIPROT
PSMA7,Q8TAA3,UNIPROT
PSMA7,O14818,UNIPROT
PSMA7,Q99685,UNIPROT
SCAF8,Q13370,UNIPROT
MAT2A,Q5XPI4,UNIPROT
MAT2A,P31153,UNIPROT
ASCC2,Q96GX1,UNIPROT
ASCC2,P15907,UNIPROT
ASCC2,Q9H1I8,UNIPROT
