	key	val
0	A0A0B4J1V1_prot	IGHV3-21
1	A0A0B4J2D5_prot	A0A0B4J2D5_prot
2	A0A0B4J2F0_prot	PIGBOS1
3	A0AV96_prot	RBM47
4	A0AVT1_prot	UBA6
5	A0FGR8_prot	ESYT2
6	A0MZ66_prot	KIAA1598
7	A0PK00_prot	TMEM120B
8	A1A4S6_prot	ARHGAP10
9	A1L0T0_prot	ILVBL
10	A1X283_prot	SH3PXD2B
11	A2I7N0_prot	A2I7N0_prot
12	A2I7N3_prot	A2I7N3_prot
13	A2I7N3_REFSEQ:XP_001252647_prot	A2I7N3_REFSEQ:XP_001252647_prot
14	A2RRP1_prot	NBAS
15	A2RUC4_prot	TYW5
16	A3KMH1_prot	VWA8
17	A3KN83_prot	SBNO1
18	A4D161_prot	FAM221A
19	A4D1E9_prot	GTPBP10
20	A4FU69_prot	EFCAB5
21	A5D8V6_prot	VPS37C
22	A5PLL7_prot	TMEM189
23	A5PLN9_prot	TRAPPC13
24	A5YKK6_prot	CNOT1
25	A6NCS6_prot	C2orf72
26	A6ND36_prot	FAM83G
27	A6NDG6_prot	PGP
28	A6NDU8_prot	C5orf51
29	A6NED2_prot	RCCD1
30	A6NGC4_prot	TLCD2
31	A6NH11_prot	GLTPD2
32	A6NHL2_prot	TUBAL3
33	A6NHL2_Q71U36_Q9BQE3_P68366_prot	TUBA1A_TUBA1C_TUBA4A_TUBAL3
34	A6NHL2_Q71U36_Q9NY65_Q9BQE3_P68366_prot	TUBA1A_TUBA1C_TUBA4A_TUBA8_TUBAL3
35	A6NHR9_prot	SMCHD1
36	A6NI28_prot	ARHGAP42
37	A6NKD9_prot	CCDC85C
38	A6NM45_prot	CLDN24
39	A6ZKI3_prot	FAM127A
40	A8CG34_prot	POM121C
41	A8CG34_Q96HA1_prot	POM121_POM121C
42	A8MTL0_prot	IQCF5
43	A8MXV4_prot	NUDT19
44	A9UHW6_prot	MIF4GD
45	B1AK53_prot	ESPN
46	B2RUZ4_prot	SMIM1
47	B5ME19_prot	EIF3CL
48	B7ZAP0_prot	RABGAP1L
49	B7ZBB8_prot	PPP1R3G
50	C9J7I0_prot	UMAD1
51	C9JI98_prot	TMEM238
52	C9JLW8_prot	FAM195B
53	C9JRZ8_prot	AKR1B15
54	E9PRG8_prot	C11orf98
55	H-INV:HIT000292931_prot	H-INV:HIT000292931_prot
56	H-INV:HIT000292931_P05787_prot	KRT8
57	L0R6Q1_prot	SLC35A4
58	L0R819_prot	ASNSD1
59	O00115_prot	DNASE2
60	O00116_prot	AGPS
61	O00139_prot	KIF2A
62	O00148_prot	DDX39A
63	O00148_Q13838_prot	DDX39A_DDX39B
64	O00151_prot	PDLIM1
65	O00154_prot	ACOT7
66	O00159_prot	MYO1C
67	O00159_Q9UBC5_prot	MYO1A_MYO1C
68	O00161_prot	SNAP23
69	O00165_prot	HAX1
70	O00170_prot	AIP
71	O00178_prot	GTPBP1
72	O00186_prot	STXBP3
73	O00189_prot	AP4M1
74	O00193_prot	SMAP
75	O00194_prot	RAB27B
76	O00203_prot	AP3B1
77	O00214_prot	LGALS8
78	O00217_prot	NDUFS8
79	O00231_prot	PSMD11
80	O00232_prot	PSMD12
81	O00233_prot	PSMD9
82	O00244_prot	ATOX1
83	O00255_prot	MEN1
84	O00264_prot	PGRMC1
85	O00264_O15173_prot	PGRMC1_PGRMC2
86	O00267_prot	SUPT5H
87	O00273_prot	DFFA
88	O00299_prot	CLIC1
89	O00303_prot	EIF3F
90	O00330_prot	PDHX
91	O00338_prot	SULT1C2
92	O00399_prot	DCTN6
93	O00401_prot	WASL
94	O00410_prot	IPO5
95	O00418_prot	EEF2K
96	O00422_prot	SAP18
97	O00425_prot	IGF2BP3
98	O00429_prot	DNM1L
99	O00442_prot	RTCA
100	O00443_prot	PIK3C2A
101	O00459_prot	PIK3R2
102	O00461_prot	GOLIM4
103	O00468_prot	AGRN
104	O00469_prot	PLOD2
105	O00471_prot	EXOC5
106	O00479_prot	HMGN4
107	O00483_prot	NDUFA4
108	O00487_prot	PSMD14
109	O00488_prot	ZNF593
110	O00499_prot	BIN1
111	O00505_prot	KPNA3
112	O00506_prot	STK25
113	O00506_Q9P289_prot	STK25_STK26
114	O00506_Q9Y6E0_Q9P289_prot	STK24_STK25_STK26
115	O00515_prot	LAD1
116	O00541_prot	PES1
117	O00559_prot	EBAG9
118	O00560_prot	SDCBP
119	O00562_prot	PITPNM1
120	O00566_prot	MPHOSPH10
121	O00567_prot	NOP56
122	O00571_prot	DDX3X
123	O00571_Q92841_P17844_prot	DDX17_DDX3X_DDX5
124	O00584_prot	RNASET2
125	O00592_prot	PODXL
126	O00622_prot	CYR61
127	O00625_prot	PIR
128	O00629_prot	KPNA4
129	O00629_O00505_prot	KPNA3_KPNA4
130	O00743_prot	PPP6C
131	O00748_prot	CES2
132	O00754_prot	MAN2B1
133	O00757_prot	FBP2
134	O00762_prot	UBE2C
135	O00764_prot	PDXK
136	O00767_prot	SCD
137	O14493_prot	CLDN4
138	O14497_prot	ARID1A
139	O14521_prot	SDHD
140	O14523_prot	C2CD2L
141	O14530_prot	TXNDC9
142	O14545_prot	TRAFD1
143	O14548_prot	COX7A2L
144	O14561_prot	NDUFAB1
145	O14562_prot	UBFD1
146	O14578_prot	CIT
147	O14579_prot	COPE
148	O14613_prot	CDC42EP2
149	O14617_prot	AP3D1
150	O14618_prot	CCS
151	O14639_prot	ABLIM1
152	O14641_prot	DVL2
153	O14641_Q92997_O14640_prot	DVL1_DVL2_DVL3
154	O14646_prot	CHD1
155	O14647_prot	CHD2
156	O14647_O14646_prot	CHD1_CHD2
157	O14647_Q9HCK8_Q9P2D1_O14646_prot	CHD1_CHD2_CHD7_CHD8
158	O14653_prot	GOSR2
159	O14656_prot	TOR1A
160	O14657_prot	TOR1B
161	O14662_prot	STX16
162	O14672_prot	ADAM10
163	O14681_prot	EI24
164	O14727_prot	APAF1
165	O14730_prot	RIOK3
166	O14732_prot	IMPA2
167	O14734_prot	ACOT8
168	O14735_prot	CDIPT
169	O14737_prot	PDCD5
170	O14744_prot	PRMT5
171	O14745_prot	SLC9A3R1
172	O14757_prot	CHEK1
173	O14773_prot	TPP1
174	O14776_prot	TCERG1
175	O14777_prot	NDC80
176	O14787_prot	TNPO2
177	O14802_prot	POLR3A
178	O14802_O95602_prot	POLR1A_POLR3A
179	O14818_prot	PSMA7
180	O14828_prot	SCAMP3
181	O14832_prot	PHYH
182	O14841_prot	OPLAH
183	O14880_prot	MGST3
184	O14907_prot	TAX1BP3
185	O14908_prot	GIPC1
186	O14920_prot	IKBKB
187	O14925_prot	TIMM23
188	O14929_prot	HAT1
189	O14936_prot	CASK
190	O14944_prot	EREG
191	O14949_prot	UQCRQ
192	O14950_prot	MYL12B
193	O14964_prot	HGS
194	O14965_prot	AURKA
195	O14966_prot	RAB29
196	O14974_prot	PPP1R12A
197	O14975_prot	SLC27A2
198	O14976_prot	GAK
199	O14979_prot	HNRNPDL
200	O14980_prot	XPO1
201	O14981_prot	BTAF1
202	O15014_prot	ZNF609
203	O15020_prot	SPTBN2
204	O15027_prot	SEC16A
205	O15031_prot	PLXNB2
206	O15042_prot	U2SURP
207	O15047_prot	SETD1A
208	O15056_prot	SYNJ2
209	O15061_prot	SYNM
210	O15066_prot	KIF3B
211	O15067_prot	PFAS
212	O15084_prot	ANKRD28
213	O15085_prot	ARHGEF11
214	O15091_prot	KIAA0391
215	O15111_prot	CHUK
216	O15116_prot	LSM1
217	O15118_prot	NPC1
218	O15120_prot	AGPAT2
219	O15121_prot	DEGS1
220	O15126_prot	SCAMP1
221	O15127_prot	SCAMP2
222	O15143_prot	ARPC1B
223	O15144_prot	ARPC2
224	O15145_prot	ARPC3
225	O15156_prot	ZBTB7B
226	O15160_prot	POLR1C
227	O15162_prot	PLSCR1
228	O15164_prot	TRIM24
229	O15173_prot	PGRMC2
230	O15182_prot	CETN3
231	O15195_prot	VILL
232	O15212_prot	PFDN6
233	O15213_prot	WDR46
234	O15226_prot	NKRF
235	O15228_prot	GNPAT
236	O15230_prot	LAMA5
237	O15235_prot	MRPS12
238	O15254_prot	ACOX3
239	O15258_prot	RER1
240	O15260_prot	SURF4
241	O15264_prot	MAPK13
242	O15269_prot	SPTLC1
243	O15270_prot	SPTLC2
244	O15294_prot	OGT
245	O15305_prot	PMM2
246	O15305_Q92871_prot	PMM1_PMM2
247	O15320_prot	CTAGE5
248	O15321_prot	TM9SF1
249	O15327_prot	INPP4B
250	O15344_prot	MID1
251	O15347_prot	HMGB3
252	O15347_P26583_prot	HMGB2_HMGB3
253	O15355_prot	PPM1G
254	O15357_prot	INPPL1
255	O15371_prot	EIF3D
256	O15372_prot	EIF3H
257	O15379_prot	HDAC3
258	O15381_prot	NVL
259	O15382_prot	BCAT2
260	O15397_prot	IPO8
261	O15400_prot	STX7
262	O15417_prot	TNRC18
263	O15427_prot	SLC16A3
264	O15431_prot	SLC31A1
265	O15438_prot	ABCC3
266	O15439_prot	ABCC4
267	O15439_Q9NUT2_prot	ABCB8_ABCC4
268	O15446_prot	CD3EAP
269	O15460_prot	P4HA2
270	O15484_prot	CAPN5
271	O15488_prot	GYG2
272	O15498_prot	YKT6
273	O15504_prot	NUPL2
274	O15511_prot	ARPC5
275	O15514_prot	POLR2D
276	O15530_prot	PDPK1
277	O15533_prot	TAPBP
278	O15541_prot	RNF113A
279	O15551_prot	CLDN3
280	O43143_prot	DHX15
281	O43148_prot	RNMT
282	O43149_prot	ZZEF1
283	O43150_prot	ASAP2
284	O43156_prot	TTI1
285	O43159_prot	RRP8
286	O43166_prot	SIPA1L1
287	O43169_prot	CYB5B
288	O43172_prot	PRPF4
289	O43175_prot	PHGDH
290	O43181_prot	NDUFS4
291	O43237_prot	DYNC1LI2
292	O43237_Q9Y6G9_prot	DYNC1LI1_DYNC1LI2
293	O43242_prot	PSMD3
294	O43251_prot	RBFOX2
295	O43252_prot	PAPSS1
296	O43252_O95340_prot	PAPSS1_PAPSS2
297	O43264_prot	ZW10
298	O43272_prot	PRODH
299	O43278_prot	SPINT1
300	O43290_prot	SART1
301	O43291_prot	SPINT2
302	O43292_prot	GPAA1
303	O43293_prot	DAPK3
304	O43294_prot	TGFB1I1
305	O43299_prot	AP5Z1
306	O43300_prot	LRRTM2
307	O43306_prot	ADCY6
308	O43314_prot	PPIP5K2
309	O43318_prot	MAP3K7
310	O43324_prot	EEF1E1
311	O43325_prot	LYRM1
312	O43390_prot	HNRNPR
313	O43390_O60506_prot	HNRNPR_SYNCRIP
314	O43395_prot	PRPF3
315	O43396_prot	TXNL1
316	O43399_prot	TPD52L2
317	O43402_prot	EMC8
318	O43414_prot	ERI3
319	O43426_prot	SYNJ1
320	O43427_prot	FIBP
