	key	val
0	P02771_tran	AFP
1	P07148_tran	FABP1
2	P09327_tran	VIL1
3	P05783_tran	KRT18
4	Q9P2E9_tran	Q9P2E9_tran
5	P09525_tran	ANXA4
6	P05787_tran	KRT8
7	Q9H3R2_tran	MUC13
8	Q12864_tran	CDH17
9	P17931_tran	LGALS3
10	P01009_tran	SERPINA1
11	O75874_tran	IDH1
12	Q7Z3J2_tran	C16orf62
13	P02766_tran	TTR
14	O75369_tran	FLNB
15	P0DMV9_tran	HSPA1B_ HSPA1A
16	P36578_tran	RPL4
17	P14923_tran	JUP
18	P12277_tran	CKB
19	O14745_tran	SLC9A3R1
20	P00352_tran	ALDH1A1
21	P30101_tran	PDIA3
22	P35900_tran	KRT20
23	P11021_tran	HSPA5
24	Q09666_tran	AHNAK
25	P07305_tran	H1F0
26	P02647_tran	APOA1
27	P04406_tran	GAPDH
28	P04181_tran	OAT
29	P16403_tran	HIST1H1C
30	Q15459_tran	SF3A1
31	P54886_tran	ALDH18A1
32	Q96I99_tran	SUCLG2
33	Q16850_tran	CYP51A1
34	P17844_tran	DDX5
35	P68104_tran	EEF1A1
36	P06748_tran	NPM1
37	P61313_tran	RPL15
38	P42704_tran	LRPPRC
39	P09211_tran	GSTP1
40	P27487_tran	DPP4
41	P11142_tran	HSPA8
42	P29966_tran	MARCKS
43	Q08380_tran	LGALS3BP
44	P10412_tran	HIST1H1E
45	P07602_tran	PSAP
46	P23246_tran	SFPQ
47	O60701_tran	UGDH
48	P15924_tran	DSP
49	P46782_tran	RPS5
50	P07858_tran	CTSB
51	P42766_tran	RPL35
52	P00338_tran	LDHA
53	P02786_tran	TFRC
54	Q15084_tran	PDIA6
55	P52272_tran	HNRNPM
56	Q9UQN3_tran	CHMP2B
57	P09651_tran	HNRNPA1
58	P40926_tran	MDH2
59	P55061_tran	TMBIM6
60	P42765_tran	ACAA2
61	P37802_tran	TAGLN2
62	P31948_tran	STIP1
63	P02649_tran	APOE
64	P19338_tran	NCL
65	P15311_tran	EZR
66	Q15056_tran	EIF4H
67	P35221_tran	CTNNA1
68	P56381_tran	ATP5E
69	O94925_tran	GLS
70	P23588_tran	EIF4B
71	P02652_tran	APOA2
72	Q02878_tran	RPL6
73	P13073_tran	COX4I1
74	Q08211_tran	DHX9
75	Q15436_tran	SEC23A
76	Q13813_tran	SPTAN1
77	Q06481_tran	APLP2
78	P19075_tran	TSPAN8
79	P39023_tran	RPL3
