PI.18.2_18.1_RT_20.436	PI.38.6_RT_20.119	Unknown_mz_229.15463_._R	Unknown_mz_243.13472_._R	Unknown_mz_247.09216_._R	Unknown_mz_289.07495_._R	Unknown_mz_314.23224_._R	Unknown_mz_632.40179_._R	Unknown_mz_724.5285_._RT	Unknown_mz_760.62274_._R	Unknown_mz_762.6203_._RT	Unknown_mz_784.5116_._RT	Unknown_mz_794.50909_._R	Unknown_mz_812.51953_._R	X3.hydroxyisovaleric.acid	Creatinine..3TMS.Derivat	Inositol.RT18.082993	Phosphorylethanolamine.	Quinolinic.acid..bis.tri	unknown.RT.12.201671	unknown.RT.16.00869	unknown.RT.16.698449	unknown.RT.17.119627	unknown.RT.4.148561	unknown.RT.5.261918	unknown.RT.5.349937	unknown.RT.7.600111	unknown.RT.9.376246	unknown.RT.9.514184	Mevalonic.acid	K7ER74.A0A024R0T9.P02655	P00748	P01011.G3V595	P05109	P06702	P13796	P15814	P18065.C9JMY1	P24821.4.P24821.J3QSU6.E	P59666.P59665	Q8WWZ8	V9GYM3.P02652.V9GYE3.V9G	X6R8F3.P80188.P80188.2	AFDN	BMP2	C1orf226	CABP7	CCDC122	CD300LD	CDK11A	CLDN15	CTU1	CYFIP2	DBN1	EIF4ENIF1	FBXO45	GPR174	H6PD	HGSNAT	HHAT	LOC100130520	LOC112268354	LOC389831	MDGA1	MGME1	MSH3	NEBL	NUDT3	NUMBL	PGD	PHKG1	PLCH1	SH3RF1	SSTR3	STOM	TEX22	UAP1L1	VKORC1L1	ZDHHC11	ZNF527
PI.18.2_18.1_RT_20.436	0.23614781184246	0.224478910026053	0.0645893689685099	0.0822855796711899	0.188216030196992	0.110505596878119	0.0750349248319505	0.0597281609222716	0.228402866510366	-0.340471028336361	-0.410323468857845	0.0308179927087137	0.0505575498493501	-0.284815860007467	-0.0368438640846114	0.17309761018714	0.26833689887206	0.134985904417338	0.108965474997805	0.263796827225441	0.189964305683573	0.03900696946138	0.200641226003497	0.177727380589521	0.306065223396345	0.025178759363954	0.0337163474862347	0.196026195080048	-0.103734873864045	0.147514775708314	0.188295427194003	-0.212710400310465	0.0287674112131902	0.096885097112026	0.108889057591916	-0.0118365922824563	0.42175466644045	-0.0465005317035815	0.0463856453047025	0.0269191349951923	0.310251685698936	-0.00655532761896372	0.187665178449043	0.296113536462854	0.30884951619698	0.100124816310193	-0.322465135619911	-0.348807411536325	0.344698170150262	-0.363782336785393	-0.342997610270211	-0.38126266187584	0.28986393524348	-0.383843736380351	0.380798815383247	0.412182008741074	-0.014041091125869	-0.0198972375768755	0.390308633108519	-0.0453884648492658	0.287753725063672	-0.338204682062186	0.341400132979427	-0.372741862493922	0.359377798579397	0.388123879063223	0.323449787191002	0.387461951021076	-0.318125761176382	0.0714499894858682	-0.36414513944933	0.344860195792831	0.367211869464594	-0.421623171473573	0.145978360623187	-0.359073339110632	-0.337579220248527	0.374270863174428	-0.299548501385308	-0.0181969498645764
PI.38.6_RT_20.119	0.224478910026053	0.222982075919537	-0.0196706841614881	-0.00416471798635568	0.143643242949932	0.0403983043603218	-5.89691263759188e-05	-0.0286038616243404	0.235692556609108	-0.328616308557568	-0.384538168276027	-0.0452624137805693	0.114180541070104	-0.271687140206605	-0.103451292565243	0.0870581706854307	0.195302068859944	0.121577859272717	0.0166660516022439	0.248963047578605	0.137357666777758	-0.0566576449457422	0.168301883102315	0.181699100898447	0.261083964194109	-0.0666187864357137	-0.0505221881658865	0.214817628730369	-0.114616880692587	0.0697159694006069	0.190038228736804	-0.195865266013143	-0.0432973460864228	0.0136823947784532	0.0287833877403053	-0.0792590866604311	0.407498039447795	-0.110410964151162	-0.0400555070223342	-0.0405902821215212	0.275933260954347	0.0630184728887224	0.132636846704904	0.273983991834114	0.242843887000449	0.00383869314236209	-0.365823451512254	-0.32647909530706	0.290783110768169	-0.38481937585408	-0.351467483269744	-0.360800751080281	0.262604658410389	-0.397816737945294	0.393331729252676	0.405619313730031	0.074266802693988	-0.112709800500755	0.373628568090795	0.046665197322395	0.284622454409826	-0.358213309591243	0.3299320715634	-0.333073537753289	0.335737254041984	0.359653832026819	0.264522974959812	0.395000075071267	-0.348330380385818	-0.0250412687589	-0.381052181257213	0.29530439732187	0.363842866580735	-0.38613965129772	0.0544677205195179	-0.369322870935897	-0.319462463601861	0.332398679921921	-0.287779359441694	0.0743139095966509
Unknown_mz_229.15463_._R	0.0645893689685099	-0.0196706841614881	0.702582791877695	0.718539723497904	0.349482305248637	0.5764011869276	0.623637595093906	0.737685160660403	-0.0944696134656567	-0.0511404928058384	-0.158778470253945	0.638337910507198	-0.544805062928931	-0.0699163749556597	0.568045168684142	0.701994880045002	0.578412827399865	0.0938464007688249	0.764115832448894	0.087347763847897	0.41710559187859	0.802618561503071	0.244337778914258	-0.0591418982495657	0.3359672955153	0.771937924567752	0.70684560083036	-0.186982422844917	0.106872043228054	0.636055891559014	-0.0418320239802539	-0.11169554243714	0.604706418522902	0.689000214303951	0.66110642025948	0.571331206775205	0.0597313854932492	0.546649480840066	0.723630754259546	0.566486156714442	0.24527833890114	-0.586859005552422	0.437896550516643	0.144334482860779	0.513193411032966	0.799070687660871	0.412741371555472	-0.138427810793671	0.405883844140891	0.230105530091652	0.120938044064157	-0.117986871028034	0.188573368082889	0.173312266199591	-0.160707150880134	-0.00389361936365947	-0.744058597005522	0.787002738873335	0.0847331921607978	-0.771192286020607	-0.0149712397482901	0.217734609714397	0.0477400049142682	-0.281481288886395	0.147992577022408	0.184656818553078	0.451285250195341	-0.119467311399169	0.300986047897418	0.804931937581159	0.195264975186424	0.36903077097906	-0.0244018380028429	-0.239088311176831	0.752123179578779	0.138288033992187	-0.104462390886035	0.299880735258704	-0.0563088464788129	-0.778969570851879
Unknown_mz_243.13472_._R	0.0822855796711899	-0.00416471798635568	0.718539723497904	0.736003191547008	0.368423498423187	0.593547067707186	0.639049564529925	0.753869130562968	-0.0799010694492081	-0.0759729594679883	-0.190282429067967	0.650871288515429	-0.550083535592404	-0.0911300312746233	0.574667631349793	0.72559184676584	0.606718096800355	0.104885800579628	0.784199910803096	0.107362554136034	0.437267619365011	0.818395661614154	0.262448331904105	-0.047572457903936	0.362997220991356	0.786242194662358	0.720695245696754	-0.176197922158299	0.101293603607055	0.656779080889461	-0.0292366066758961	-0.128504044718021	0.616549366853372	0.707013462192047	0.679513178680173	0.579769958927951	0.0904335963704339	0.55224390031443	0.738645992707338	0.57757845767628	0.271131439250311	-0.59684637480604	0.458233950314859	0.167552469824069	0.543296157214284	0.819098868053131	0.396707485868317	-0.165264722360366	0.436772108698105	0.208194539135964	0.0987204441547799	-0.146780027599044	0.212068808492301	0.149065189203464	-0.136470141672696	0.0251010521447752	-0.757125181693568	0.798373771613364	0.113624332325532	-0.786909190757438	0.00507172909953859	0.197425992804606	0.0725827783954054	-0.312327406143212	0.17572992067846	0.215015786351039	0.48141245786603	-0.094091208104639	0.283444191504321	0.823033742898134	0.172762914869579	0.399332300416014	0.00108967748972587	-0.272692371444991	0.774621928645287	0.115218738251151	-0.129956452790915	0.331133282567202	-0.0783402575185557	-0.792895769450896
Unknown_mz_247.09216_._R	0.188216030196992	0.143643242949932	0.349482305248637	0.368423498423187	0.279672264349056	0.325713755286248	0.32221608533906	0.36145910915775	0.113759243847639	-0.253098035707895	-0.347292175720613	0.29863200727985	-0.20276199171691	-0.223531824898931	0.222171804026187	0.422797575710735	0.433602236478287	0.132355490941274	0.406342947908306	0.216864725136095	0.310280090541443	0.375661771361124	0.242349126403919	0.0947709672184477	0.353696416863312	0.352936981854072	0.330404411849885	0.0515553946346747	-0.0238352788783232	0.376762201119187	0.109467758858837	-0.192820521578354	0.282608821117314	0.365469855112376	0.361472404907501	0.240557039717758	0.311948041731384	0.206315237054313	0.346297597179629	0.264726258428776	0.317076754401919	-0.259783226697278	0.317767241623052	0.263570746036795	0.432694169763182	0.415557411144448	-0.0390576244515604	-0.296728442577237	0.410310676529051	-0.146535306587469	-0.17994085547738	-0.309840123020489	0.278581426968726	-0.184847776426117	0.188267654711135	0.277774732189129	-0.333255272834171	0.328929029332719	0.301505037227008	-0.366315201473707	0.188589711386204	-0.134575579795506	0.252248459557837	-0.375198192079201	0.30805697457954	0.343499848833454	0.415657646008399	0.21072860086436	-0.0847394492913615	0.39866541530156	-0.161940195605818	0.394385999394162	0.238360956595123	-0.389895925642693	0.426220604312719	-0.183291698370524	-0.274337337371107	0.384240369816948	-0.227600344618574	-0.351262579374322
Unknown_mz_289.07495_._R	0.110505596878119	0.0403983043603218	0.5764011869276	0.593547067707186	0.325713755286248	0.487251405851921	0.516057279662833	0.603178502675931	-0.0182685979911393	-0.125845377425022	-0.229131768145162	0.516732550532802	-0.421815120367827	-0.126912888662014	0.443773853735026	0.603042346225287	0.528288540335381	0.108561620396918	0.636556820147286	0.135561836129668	0.380075715177457	0.649781623911011	0.244972187673892	-0.00275794126534942	0.344380163753795	0.621860938536454	0.572087103556391	-0.100130608965776	0.0593061027886127	0.544068616294708	0.0136859041241814	-0.142214038047812	0.48940130377735	0.573638814625457	0.554394431486401	0.452642136774312	0.153004169912529	0.42429953945538	0.588637500313915	0.458461356468668	0.273107584811018	-0.469619629857071	0.396080730481377	0.189079123045014	0.486402081569523	0.66222226715233	0.24856883179542	-0.1975341113725	0.40978621273394	0.0926058480566531	0.0107447989935388	-0.189342497405649	0.222795335759542	0.0423047273763348	-0.0330137199548964	0.0998757153278357	-0.596846326876875	0.622612242545819	0.165084923542663	-0.62631558565057	0.0599545492240879	0.0891312325387408	0.123365839750438	-0.317589787220409	0.207802322345996	0.244221662088252	0.440682125518528	0.00153710083420686	0.160535401333911	0.659732038992842	0.0647321314233493	0.380438768350132	0.0722862904930456	-0.295996782052074	0.636240856102571	0.0205638839797228	-0.167643620992912	0.332644156688672	-0.119742612446162	-0.625723865005764
Unknown_mz_314.23224_._R	0.0750349248319505	-5.89691263759188e-05	0.623637595093906	0.639049564529925	0.32221608533906	0.516057279662833	0.554924380409964	0.6541737304033	-0.0656226299760445	-0.0712147274040619	-0.171368731718986	0.564468711036716	-0.475849084301858	-0.0834682670510648	0.497368115859548	0.631464156040141	0.529965849491857	0.0930183543346507	0.681234024721215	0.0972014013709986	0.381897310684171	0.70975843681264	0.230584859290746	-0.0384111685662718	0.319377797103255	0.681678717780424	0.625017153224782	-0.149576044730895	0.0861307279982932	0.571433195234545	-0.0223559975188765	-0.114712699985686	0.534696265317973	0.614160769110606	0.590521537223723	0.502184742939707	0.0850302686735675	0.47778520011877	0.640771858499716	0.500898661022744	0.239842101245305	-0.517272332341832	0.40002832470508	0.149867129149088	0.475651243101956	0.711334245813791	0.338648631379178	-0.148718058765526	0.383914813422462	0.174648392440829	0.0801175296860645	-0.133214257774692	0.188341805324428	0.123095444918215	-0.112229959540228	0.0282681022753159	-0.656272639203874	0.69147795196027	0.10462782362628	-0.682576254878585	0.00894502022765782	0.165721892738033	0.0682918204708913	-0.276526675639711	0.157953329108171	0.192449188807956	0.422259763682873	-0.0754031556108775	0.240574362758313	0.714290377713437	0.143941076493593	0.351475701000155	0.00675106493355745	-0.242955810832613	0.673519980975092	0.0941591256466981	-0.117945811522197	0.292846186758065	-0.0726188732220337	-0.687333648744685
Unknown_mz_632.40179_._R	0.0597281609222716	-0.0286038616243404	0.737685160660403	0.753869130562968	0.36145910915775	0.603178502675931	0.6541737304033	0.77482548229798	-0.107519346558255	-0.0418986152671528	-0.152807851846155	0.671209503164923	-0.575560527449338	-0.0636286133760182	0.599554999077443	0.733253640457655	0.599751889764132	0.0940956571009479	0.800932142282716	0.0827256937344021	0.432617977333674	0.843940828621447	0.25028520655999	-0.0685320498008161	0.343084689538734	0.812114074136033	0.743259411107019	-0.203815556214158	0.116201389984631	0.664706066398868	-0.0506727303446547	-0.110163449100142	0.635861136243037	0.722245420675674	0.692446157002235	0.602137220242347	0.0480906480312599	0.577360513738724	0.7604922733577	0.595672806677845	0.247424734949837	-0.617844787849161	0.454595622567668	0.141608222393002	0.529639960865547	0.838056918136591	0.446025348661341	-0.133536013340415	0.41536289382012	0.25512641617358	0.139421860994364	-0.11086749774344	0.188419828297716	0.196017053944139	-0.182634469148774	-0.0185823600920695	-0.783143106073934	0.829563916593279	0.0755271734319135	-0.81061872448765	-0.025877547072832	0.24119881690463	0.0382846060125533	-0.283357851356308	0.143238166146561	0.180842678516267	0.463925825419429	-0.139435110697486	0.328173096232568	0.845237402004905	0.218445375533843	0.376543846063091	-0.0386014640982852	-0.236992514686328	0.78700116504097	0.158259534237069	-0.0981584030574423	0.302682277719788	-0.0487796580448508	-0.819765045864206
Unknown_mz_724.5285_._RT	0.228402866510366	0.235692556609108	-0.0944696134656567	-0.0799010694492081	0.113759243847639	-0.0182685979911393	-0.0656226299760445	-0.107519346558255	0.256873038465122	-0.338924406430251	-0.386199719823861	-0.114528954116112	0.176903648834445	-0.277304258832213	-0.168105462127183	0.0174150404001166	0.14381699339835	0.117514826934107	-0.0628673387098677	0.251663081235695	0.100064667006179	-0.143738313201438	0.150648278129948	0.196588683766157	0.238226004733663	-0.150949535295703	-0.127241743604308	0.24472733352562	-0.131322442523119	0.00617706017081928	0.203506097814947	-0.193471432206907	-0.108934535439172	-0.058096757520087	-0.0393426415029009	-0.143104051482428	0.420667902880349	-0.173148053392159	-0.118040069533756	-0.102080304846544	0.263317848035487	0.127720683099874	0.0929328488992309	0.271887419176015	0.200484194743322	-0.0799816081097802	-0.42667366883107	-0.327508976029098	0.261992560033886	-0.427376368273261	-0.380956247092726	-0.365617633106744	0.255314288971337	-0.435023595375891	0.428999392713099	0.425388183614624	0.156031722358443	-0.20082410958262	0.382553544204399	0.129965207587595	0.299780893464778	-0.398199926195632	0.340660450092838	-0.319379446978661	0.336203501026471	0.357407194310862	0.229706179292437	0.426411965391223	-0.396597234401999	-0.110856136187985	-0.419766705550315	0.270603875319542	0.383773772419017	-0.379434945400825	-0.0220007120957987	-0.401487787203382	-0.323728118144707	0.316738109629397	-0.295595045436764	0.159751146576202
Unknown_mz_760.62274_._R	-0.340471028336361	-0.328616308557568	-0.0511404928058384	-0.0759729594679883	-0.253098035707895	-0.125845377425022	-0.0712147274040619	-0.0418986152671528	-0.338924406430251	0.493454558308367	0.588739094865686	-0.00582167033928946	-0.107134311945813	0.411128606257753	0.0885569299164114	-0.209439708006223	-0.355924711700593	-0.191129406754498	-0.11209292031793	-0.379403117499505	-0.251502929808918	-0.00769586131267594	-0.277665557363418	-0.262846941428331	-0.425813743668673	0.0105924846958012	-0.00584978621546379	-0.297372518643728	0.157851866030485	-0.176168010486255	-0.277199794167641	0.303399305101627	-0.004892295163059	-0.0990775317051771	-0.118295515060875	0.0522843437389837	-0.611483086274612	0.101330060047356	-0.023299552768306	-0.00453926219351862	-0.437478708896649	-0.0264108560747606	-0.246875169867492	-0.423045151140908	-0.419011504800234	-0.0970559126400688	0.495626360955203	0.500263120782129	-0.477875692010398	0.544694163117245	0.507687373942853	0.548853217877684	-0.411218221354969	0.570473244171283	-0.565259475608295	-0.60142097066847	-0.0251282871959585	0.0772608610226253	-0.564085406202176	0.0189298033411463	-0.420616849081989	0.506629945898521	-0.495018126787874	0.526403791269433	-0.515094130326955	-0.554773957390452	-0.44410124101887	-0.572450066825913	0.482447086413459	-0.0548733743029707	0.543087741496099	-0.480370953694529	-0.537087471818212	0.600297456033007	-0.16681264750214	0.532197886407844	0.485968339522201	-0.527506083635629	0.433450779818679	-0.0212067162848954
