Less.severe	More.severe	Contrib.Less.severe	Contrib.More.severe	Contrib	GroupContrib	color	importance
unknown.RT.16.698449	-0.664332522761461	0.328027082968597	FALSE	TRUE	FALSE	More severe	#F68B33	0.791538786554849
Quinolinic.acid..bis.tri	-0.727679770307284	0.175974624613305	FALSE	TRUE	FALSE	More severe	#F68B33	0.407136100182197
unknown.RT.5.349937	-0.625755304918266	0.303258982455419	FALSE	TRUE	FALSE	More severe	#F68B33	0.361177366276378
unknown.RT.7.600111	-0.420449944299049	0.634342870585802	FALSE	TRUE	FALSE	More severe	#F68B33	0.206694011225899
X3.hydroxyisovaleric.acid	-0.335949187319072	0.450743625695694	FALSE	TRUE	FALSE	More severe	#F68B33	0.155915877462403
Creatinine..3TMS.Derivat	-0.352543570605833	0.296825495527171	FALSE	TRUE	FALSE	More severe	#F68B33	0.101120127946146
Inositol.RT18.082993	-0.383644437203713	-0.0374975898784919	FALSE	TRUE	FALSE	More severe	#F68B33	-0.600369447555783
unknown.RT.5.261918	-0.0987333973641022	0.087246604956351	FALSE	TRUE	FALSE	More severe	#F68B33	-0.415958527809392
unknown.RT.17.119627	0.0950758006089633	0.268299116981068	FALSE	TRUE	FALSE	More severe	#F68B33	-0.331661685580097
unknown.RT.16.00869	-0.108010414319091	-0.104115804860415	FALSE	TRUE	FALSE	More severe	#F68B33	-0.314586534325988
unknown.RT.12.201671	0.297717542069922	0.189638176639007	TRUE	FALSE	FALSE	Less severe	#388ECC	-0.310336475871098
unknown.RT.9.514184	-0.0758103165203026	0.134576365886317	FALSE	TRUE	FALSE	More severe	#F68B33	0.241904893915759
unknown.RT.4.148561	0.122898295573403	-0.214340973026339	TRUE	FALSE	FALSE	Less severe	#388ECC	-0.23994125491667
Phosphorylethanolamine.	0.517722060806005	0.348119971181222	TRUE	FALSE	FALSE	Less severe	#388ECC	-0.153717298447995
Mevalonic.acid	-0.457153432462539	0.230147960102401	FALSE	TRUE	FALSE	More severe	#F68B33	-0.108131538029551
unknown.RT.9.376246	-0.0786665781332511	-0.346149346276167	TRUE	FALSE	FALSE	Less severe	#388ECC	-0.0992517969453467
