Control_10h	Control_24h	Control_2h	Control_6h	Virus_10h	Virus_24h	Virus_2h	Virus_6h	Contrib.Control_10h	Contrib.Control_24h	Contrib.Control_2h	Contrib.Control_6h	Contrib.Virus_10h	Contrib.Virus_24h	Contrib.Virus_2h	Contrib.Virus_6h	Contrib	GroupContrib	color	importance
P0DTC6__FEATUREID	-0.404329560635008	-0.378603445097053	-0.428937794903691	-0.398587253320211	-0.186597476193311	2.51369001088675	-0.435859819230538	-0.331364524579105	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.327713647511747
P0DTC1__FEATUREID	-0.398733189802134	-0.409762914462004	-0.419105913600899	-0.413885299386259	-0.116143879142423	2.5462713448011	-0.424255056709166	-0.364385091698214	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.304832899680704
NPM1	-0.452567531073961	-0.371048366919267	0.00125856681625051	-0.650622205109167	-0.151716070528318	2.54266995975653	-0.522554059375833	-0.30614802902132	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.297298027735506
P0DTC2__FEATUREID	-0.406160799757757	-0.406700287935018	-0.414640461032951	-0.391133104033834	0.0531771386199654	2.3067916474125	-0.413429378585267	-0.332915292525387	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.288313386807354
SHH	0.389964308378367	0.852632284522606	0.260886740046982	0.217666775849931	0.1847558796892	-2.63468724066773	0.513529975957595	0.302554833850503	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	0.259864008559007
NEU1	0.372230983034457	0.220625161071144	0.145207558984132	0.736431259257659	0.394150127001243	-2.50972244000986	0.1773250605279	0.467162415451466	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_6h	#009E73	0.236015861630527
NOP10	-0.226368720669572	-0.765533719668496	0.115723716802468	-0.0569612141491322	-0.444832111126145	2.42094964189571	-0.477021351266607	-0.48138064459023	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.198301261182802
P0DTD2__FEATUREID	-0.344700815733785	-0.338527962166876	-0.340559481658731	-0.33590728742206	-0.120204612506775	2.10585424297658	-0.334193164984823	-0.314647674872138	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.175172901504791
C16orf62	-0.0321714702538299	-0.800890129563418	-0.095965600976657	-0.35704694358163	-0.298496122476182	2.2892724872609	-0.491486572518397	-0.700251890511658	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.172981318303006
HSPA9	-0.711832040841419	-0.175025702970921	0.20062752693674	-0.509463922063703	-0.209392645413814	2.3708132610766	-0.583837817483871	-0.504695153202465	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.17281410089417
ALG11	-0.529790034172319	-0.611791135969914	-0.451990287418003	-0.472482762390999	-0.033440062352086	2.29362483453936	0.0576738246478549	-0.536016604630874	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.171802246296076
P0DTC9__FEATUREID	-0.354583644150081	-0.354717819152339	-0.351976783937066	-0.355619866922384	-0.0454535161006321	2.11106723170797	-0.355544790141193	-0.293170811304281	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.169751810539412
LYPD3	-0.45286733568775	-0.126715019036784	-0.670423686856454	0.0232234240485434	-0.247807201957472	2.56065916559201	-0.409734948160935	-0.429830687507225	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.16726806574113
P0DTC3__FEATUREID	-0.427334532894592	-0.436659205857573	-0.442042611524717	-0.428829042588341	-0.17970705033906	2.77047897346866	-0.44138900990435	-0.397719011495967	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.157319933816853
PLSCR1	-0.125101519548611	-0.636136161498808	-0.203536527614798	-0.621945809142698	-0.0397281905979232	2.2171396331601	-0.202618862592114	-0.574634786549867	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.156095045019559
TIMM50	-0.639527115887943	-0.134759590159429	0.28181977092822	-0.507681959626411	-0.216828470243096	2.24716620706399	-0.460654787658568	-0.623461549972372	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.148964639674056
PPIB	-0.92614476167316	-0.344263241740301	0.117291075785917	-0.207117480029123	-0.243780422609931	2.63587642986728	-0.564357146306856	-0.639348144911046	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.136764838349009
