index	name	annotation	Control_10h	Control_24h	Control_2h	Control_6h	Virus_10h	Virus_24h	Virus_2h	Virus_6h	Contrib.Control_10h	Contrib.Control_24h	Contrib.Control_2h	Contrib.Control_6h	Contrib.Virus_10h	Contrib.Virus_24h	Contrib.Virus_2h	Contrib.Virus_6h	Contrib	GroupContrib	color	importance
P08174	Complement decay-accelerating factor;CD55;ortholog		0.519819681859124	0.0139577686747679	0.558856116027541	-2.4790358859031696	0.6625065259640289	-0.314339015571927	0.768438762927376	0.191539784367322	False	False	False	False	False	False	True	False	False	Virus_2h	black	0.793975029351915
Q16719	Kynureninase;KYNU;ortholog	hydrolase(PC00121)	0.656746920978727	0.311749509558096	0.803122562787549	-2.5099649498256604	0.474386533251402	-0.327445563950172	0.21827368251949303	0.165729464922264	False	False	True	False	False	False	False	False	False	Control_2h	#C2C2C2	0.36868156012859493
Q99988			-0.773852194289885	-1.2218873787180902	1.35505075276685	0.39773572994239004	-1.15655807958723	-0.7112374307174251	1.58802569661376	0.260853042796355	False	False	False	False	False	False	True	False	False	Virus_2h	black	0.35938131527358896
Q8WVV9_P14866			-1.20840103782465	-1.08508620530285	0.9198057352102479	0.180927015680349	-1.36473983109599	-0.0667477381111194	1.1209069150041298	0.627397691767899	False	False	False	False	False	False	True	False	False	Virus_2h	black	0.343091968624284
Q2UVX4			-0.192311356400038	-0.3551709646687029	1.09238919561903	-1.99210524376405	0.22502306557246696	0.131557032618866	1.1824463001143302	-0.172030856671279	False	False	False	False	False	False	True	False	False	Virus_2h	black	0.284355063397288
Q15465	Sonic hedgehog protein;SHH;ortholog		0.389964308378366	0.852632284522605	0.260886740046984	0.21766677584993102	0.184755879689199	-2.63468724066773	0.513529975957594	0.302554833850502	False	True	False	False	False	False	False	False	False	Control_24h	#F68B33	0.259864008559005
P37268			-1.0677648562393	-0.44100411871486894	1.46469125736938	0.0597092569393071	-0.649316856447198	-0.956850831786097	1.5221579092419601	0.0762027054785834	False	False	False	False	False	False	True	False	False	Virus_2h	black	0.253450777435895
Q99519	Sialidase-1;NEU1;ortholog	hydrolase(PC00121)	0.372230983034459	0.22062516107114602	0.14520755898413198	0.7364312592576558	0.394150127001242	-2.5097224400098597	0.177325060527904	0.46716241545146703	False	False	False	True	False	False	False	False	False	Control_6h	#009E73	0.23601586163052696
Q6YN16			-1.79050389727756	-0.791023953968995	1.1617340757227599	0.33597555196575607	-0.5238988535394931	0.7179264665943391	0.830699766745063	0.0919072772711715	False	False	True	False	False	False	False	False	False	Control_2h	#C2C2C2	0.228242957237957
Q9Y6M0			0.25762797676245897	0.30662680981172497	1.17281341981496	-2.43065665206012	0.180222344489992	-0.395485368829428	0.58594278259418	0.5197672985069509	False	False	True	False	False	False	False	False	False	Control_2h	#C2C2C2	0.19669437460463102
