Less.severe	More.severe	Contrib.Less.severe	Contrib.More.severe	Contrib	GroupContrib	color	importance
Unknown_mz_794.50909_._R	0.555223378638643	-0.304282252557559	TRUE	FALSE	FALSE	Less severe	#388ECC	0.645602646245202
Unknown_mz_784.5116_._RT	-0.50153044565963	0.651946521816118	FALSE	TRUE	FALSE	More severe	#F68B33	-0.491289594360365
Unknown_mz_632.40179_._R	-0.471945773386592	0.388369710421486	FALSE	TRUE	FALSE	More severe	#F68B33	-0.440506450025893
Unknown_mz_594.49445_._R	-0.670014836659735	0.598047785372959	FALSE	TRUE	FALSE	More severe	#F68B33	-0.342922722811995
Unknown_mz_481.04605_._R	-0.706209875579003	0.533476589135202	FALSE	TRUE	FALSE	More severe	#F68B33	-0.156916929031133
Unknown_mz_289.07495_._R	-0.690298076847077	0.164461707633225	FALSE	TRUE	FALSE	More severe	#F68B33	-0.0635021602664837
Unknown_mz_229.15463_._R	-0.470362577455199	0.384156386664846	FALSE	TRUE	FALSE	More severe	#F68B33	-0.0391712180579301
Unknown_mz_762.6203_._RT	-0.261432781130947	0.13637042271874	FALSE	TRUE	FALSE	More severe	#F68B33	-0.604038319399376
Unknown_mz_268.19049_._R	-0.291905260607853	-0.257710166082619	FALSE	TRUE	FALSE	More severe	#F68B33	-0.421307484088499
Unknown_mz_812.51953_._R	-0.0040581275578184	0.392650945483891	FALSE	TRUE	FALSE	More severe	#F68B33	-0.413026879246546
Unknown_mz_871.68774_._R	0.379788308044814	-0.00202799939082344	TRUE	FALSE	FALSE	Less severe	#388ECC	0.379248104236427
Unknown_mz_724.5285_._RT	0.455545193060439	-0.17000133078536	TRUE	FALSE	FALSE	Less severe	#388ECC	0.250731433296805
Unknown_mz_257.17453_._R	0.401544431704386	-0.125653192364682	TRUE	FALSE	FALSE	Less severe	#388ECC	0.232893956169765
Unknown_mz_310.30988_._R	0.100927840929138	0.105930174018474	FALSE	TRUE	FALSE	More severe	#F68B33	-0.113859956362751
Plasmenyl.PC.P.20.0_20.4.1	0.22787032725136	0.0025961379245816	TRUE	FALSE	FALSE	Less severe	#388ECC	-0.0908614595636816
Unknown_mz_734.68311_._R	0.330341309113111	0.00248986102412104	TRUE	FALSE	FALSE	Less severe	#388ECC	0.0695893249844052
Plasmenyl.PC.P.18.0_22.5.1	-0.134218533452878	0.317219108674445	FALSE	TRUE	FALSE	More severe	#F68B33	-0.00699784887683479
