Less.severe	More.severe	Contrib.Less.severe	Contrib.More.severe	Contrib	GroupContrib	color	importance
P24821.4.P24821.J3QSU6.E	-0.731689757067082	0.846260667108839	FALSE	TRUE	FALSE	More severe	#F68B33	-0.469722472432864
P13796	-0.517703382616807	0.588166594175986	FALSE	TRUE	FALSE	More severe	#F68B33	-0.315711747829372
V9GYM3.P02652.V9GYE3.V9G	0.509203270790029	-0.535357794095478	TRUE	FALSE	FALSE	Less severe	#388ECC	0.306190843993005
P05109	-0.345031818039827	0.647696582331954	FALSE	TRUE	FALSE	More severe	#F68B33	-0.302968535027793
P01011.G3V595	-0.25521596951847	0.376275631620562	FALSE	TRUE	FALSE	More severe	#F68B33	-0.265046290013107
D6W5L6.P07988.H0Y7V6	-0.375115245671185	0.473022801103061	FALSE	TRUE	FALSE	More severe	#F68B33	-0.248716241241795
P06702	-0.234225269985051	0.653582244826115	FALSE	TRUE	FALSE	More severe	#F68B33	-0.219909314370775
P18065.C9JMY1	-0.384714630395692	0.482609570056515	FALSE	TRUE	FALSE	More severe	#F68B33	-0.214320649533102
P59666.P59665	-0.474846101436483	0.452270306323111	FALSE	TRUE	FALSE	More severe	#F68B33	-0.20536329053205
G3V4U0.Q9UBX5.G3XA98	-0.0503608394278373	0.438843908219821	FALSE	TRUE	FALSE	More severe	#F68B33	-0.181488824608036
G3V3A0	-0.272924632862281	0.405145694573694	FALSE	TRUE	FALSE	More severe	#F68B33	-0.180181821673347
O00391.O00391.2	-0.50829664875047	0.472313458951863	FALSE	TRUE	FALSE	More severe	#F68B33	-0.175405640637649
O95445.O95445.2.Q5SRP5	0.602016798036302	-0.223894465101103	TRUE	FALSE	FALSE	Less severe	#388ECC	0.13030620177144
H0YAC1.P03952.E9PBC5	0.376044337991234	-0.371008549022368	TRUE	FALSE	FALSE	Less severe	#388ECC	0.128175487063868
P06396.A0A0A0MS51.A0A0A0	0.477333511210699	-0.387191480670181	TRUE	FALSE	FALSE	Less severe	#388ECC	0.126298348039304
F5GZZ9.Q86VB7.3.Q86VB7.Q	-0.43006408359691	0.634533331468113	FALSE	TRUE	FALSE	More severe	#F68B33	-0.122501035207633
B7ZKJ8	-0.514928844771388	0.428085068715493	FALSE	TRUE	FALSE	More severe	#F68B33	-0.106693785734182
P04275	-0.477369152251691	0.390645968221271	FALSE	TRUE	FALSE	More severe	#F68B33	-0.0927101213067089
Q06033.2.Q06033.E7ET33.A	-0.0651966871975013	0.42962978166702	FALSE	TRUE	FALSE	More severe	#F68B33	-0.0912993255151376
E9PHK0.P05452	0.414553966183764	-0.389449079951025	TRUE	FALSE	FALSE	Less severe	#388ECC	0.084875816295417
Q5H9A7.P01033.H0Y789	0.00552331968449758	0.507150218237836	FALSE	TRUE	FALSE	More severe	#F68B33	-0.0744783556207215
P80108	0.280827896970411	-0.239347279432809	TRUE	FALSE	FALSE	Less severe	#388ECC	0.0741187366681032
Q96PD5.Q96PD5.2	0.318967339157334	-0.347671032580051	TRUE	FALSE	FALSE	Less severe	#388ECC	0.0725215537085485
P02765.C9JV77	0.215475157380043	-0.213928442954407	TRUE	FALSE	FALSE	Less severe	#388ECC	0.0680978443017058
P22897	-0.551267363196698	0.687909671955758	FALSE	TRUE	FALSE	More severe	#F68B33	-0.0512629246917453
Q9UGM5.Q9UGM5.2.E9PG08	0.369489929513788	-0.327287368414625	TRUE	FALSE	FALSE	Less severe	#388ECC	0.0488124505809519
P15291.2.P15291	-0.202129508634735	0.498507967045177	FALSE	TRUE	FALSE	More severe	#F68B33	-0.0437088333312834
P05362	-0.218068785101069	0.674733939386556	FALSE	TRUE	FALSE	More severe	#F68B33	-0.0300405919412654
A0A0C4DGZ8.P07359	-0.43306012928491	0.437380720840163	FALSE	TRUE	FALSE	More severe	#F68B33	-0.0247010233232688
P10643	-0.473294993132916	0.36632999151659	FALSE	TRUE	FALSE	More severe	#F68B33	-0.0118719850725935
P15814	-0.0325691154066472	-0.118863874569932	TRUE	FALSE	FALSE	Less severe	#388ECC	-0.43633691142577
