feature importance	biomolecule
0.006784215	MYBL1
0.006634645	HMGB2
0.005828342	ATP6V0C
0.005513122	P05109
0.005028298	PLP2
0.00486841	ZNF225
0.004797497	NOL11
0.004491466	TRAF5
0.004350288	FCER1G
0.004297881	NCL
0.00429705	CCDC136
0.003807184	SLC9A8
0.003703108	TBCA
0.003674874	ZNF234
0.003485007	HROB
0.003482825	SLC26A2
0.003391076	IPO9
0.003301745	NMUR1
0.003251877	MAPKAPK5
0.003238059	ZSCAN25
0.003223984	KCNC3
0.003198439	IDI1
0.003162779	C1RL
0.003162484	GRK2
0.003145218	SERPINB1
0.003137232	CWF19L1
0.003127068	MPP1
0.003068019	CRYZ
0.003062454	ERLIN1
0.003054706	CA5B
0.003040763	ZNF527
0.003030739	TWNK
0.00302378	CCDC91
0.003019508	CHD6
0.00301799	RIC8B
0.002987774	ALOX5AP
0.002985358	SH2B3
0.002948476	COPG1
0.002929348	R3HDM1
0.002913306	SLC9A7
0.002885733	TPM3
0.00285997	TMEM161B
0.002845431	RPH3A
0.002837674	UGP2
0.002831309	MAFG
0.002761138	PDE7B
0.002748907	RAB13
0.002734424	APH1B
0.002707108	MCEMP1
0.002677179	CLSTN1
0.002663796	LLPH
0.002639406	CFAP97
0.002635278	ANKRD46
0.002633104	RGMB
0.002625797	RCAN3
0.002586239	VWA8
0.002556926	TMEM168
0.002532531	REM2
0.002530642	CAPN1
0.00250497	INHBA
0.002497135	POLR2M
0.002489756	NIFK
0.002463115	GDAP1
0.002441753	BET1
0.002420006	CCL23
0.002413334	DHCR7
0.002383968	PINK1
0.002382618	ARRB2
0.00237529	FAM124B
0.002365362	ZNF501
0.00236527	PIGM
0.002354281	ZBTB39
0.002340025	MYL12B
0.002320273	DGKH
0.002297953	ZNF74
0.002294507	ZNF544
0.002287542	SLA
0.00228511	CEP290
0.002281446	H6PD
0.002280644	JAKMIP2
0.002275059	HDX
0.00227486	GLTP
0.002266286	WBP2
0.002249685	ADAMTS2
0.002230319	TG 58:3_RT_34.075
0.002211444	ANGPTL6
0.002210598	PPIP5K1
0.002206016	ZNF320
0.00218634	IER3
0.002167676	THEMIS2
0.002166938	ZBTB25
0.002163495	IFI16
0.002162994	LILRB3
0.002161236	SUGT1
0.002158021	GPRIN3
0.002150433	OTUD7B
0.002133421	CYB561
0.00211657	INPP4B
0.002110644	NOP58
0.002107308	MGAM
0.002098352	SAP30BP
0.002095936	Glucose 6P
0.002094088	TSPO
0.002093952	CD84
0.002063832	CALM1
0.002060129	RALGAPA2
0.002053443	PURA
0.002046094	MAP1LC3B
0.002043504	USP13
0.002035168	UBFD1
0.002020553	GLA
0.001996076	SP140L
0.001988638	IRAK3
0.001978753	SEMA4F
0.001933772	GORAB
0.001926475	NF2
0.001916711	LIMD1
0.001908695	ADIPOR1
0.001904436	BACE2
0.001900001	ZSCAN26
0.00189795	HNRNPC
0.001895812	ISG20L2
0.001888485	UBE2C
0.0018779	P24821-4;P24821;J3QSU6;E9PC84;P24821-2;F5H7V9;P24821-3;P24821-5;P24821-6
0.001876327	HADHB
0.001873423	RBM26
0.001853295	CPNE2
0.001852271	RELL1
0.001848022	CMKLR1
0.001829962	DDX47
0.001810228	CCR6
0.001805312	NANOG
0.0017983	THEM5
0.001788277	DNAJC24
0.001754327	RGL4
0.001749651	LRRFIP2
0.001742928	PCBP4
0.001731755	STK19
0.001728427	TPD52
0.001720633	PTGDR2
0.001715011	HexCer[NS] d40:1_RT_24.917
0.00171222	FRMD8
0.001703463	PE 35:1_RT_23.425
0.001684718	TMEM220
0.001684004	F5GZZ9;Q86VB7-3;Q86VB7;Q86VB7-2;C9JHR8;Q86VB7-4
0.001681235	CREG1
0.001679826	ZDHHC11B
0.001678357	NUDT15
0.001674342	PLXNA2
0.001659703	"Phenylalanine, 2TMS derivative RT13.727813"
0.001652344	HFE
0.001646769	PTGES
0.00163717	FGFR2
0.001615485	GPATCH11
0.001608867	PRKCE
0.001601696	DIPK1B
0.001594645	ZFP37
0.00159169	KIAA1671
0.001589057	P06737;P06737-2;E9PK47
0.001585804	GLIS2
0.001583575	DRC1
0.001579898	HNRNPR
0.001576994	DHRS1
0.001573476	2-methylcitric Acid
0.0015731	PEPD
0.001570785	ZDBF2
0.001567598	SBDS
0.001567254	Plasmanyl-PC O-16:0_20:4_RT_22.462
0.001542279	WWP1
0.001537765	MLX
0.00152983	PIP4K2B
0.001528861	GOLGA8O
0.001528524	RETN
0.001527596	SM d35:1_RT_21.643
0.001527098	POLR2J
0.001525674	KCTD7
0.001520239	MLLT6
0.001519358	FN1
0.001514716	OSCP1
0.001508079	OTUD4
0.001499497	ZNF195
0.001498653	P04433;A0A0A0MRZ8
0.001484428	HEXIM2
0.001472104	ANO10
0.001471166	KNOP1
0.001462111	APOL1
0.001461522	SRGAP3
0.001459211	HSPA5
0.001458581	BMP6
0.001456266	CXCR4
0.001446799	MPP6
0.001446518	CD3G
0.001443032	FCER1A
0.001426083	V9GYM3;P02652;V9GYE3;V9GYG9
0.001408002	ZNF718
0.001403546	FADD
0.001401758	SCN5A
0.001396971	RNA18SN4
0.001396307	SLC6A12
0.001394542	CHMP2A
0.001394468	ZNF180
0.001387155	DTNBP1
0.001387027	P01011;G3V595
0.001383335	RCE1
0.001382855	RAPGEF3
0.001373784	CYB561D2
0.001359565	SIGLEC5
0.001355932	MTFR1
0.001352729	ZNF365
0.001349593	CCDC142
0.001343334	ZNF607
0.001342449	ZNF808
0.001339972	GPAT2
0.001336298	AGK
0.001335465	CCL4L2
0.001335205	ALG11
0.001333236	SFXN2
0.00132973	MYOM2
0.001329706	TFDP1
0.001324395	AGAP5
0.001323625	RFFL
0.001322719	F12
0.001322224	S100A6
0.001316215	RNASE6
0.001316083	TUBD1
0.00131123	ZNF740
0.001310857	GSPT2
0.001301852	ZNF622
0.001294558	ZNF121
0.001291315	F8VZ49;F8W6I7;P09651-3;P09651-2;P09651;F8W646;Q32P51;A0A2R8Y4L2
0.001291151	KIF21A
0.001288672	FYTTD1
0.00128724	CLTA
0.001278863	PDE4DIP
0.001273568	LNPK
0.001273269	SQOR
0.001271228	FBXO7
0.001269328	NUS1
0.001267876	OLFM1
0.001263197	MYH9
0.001259998	INSL3
0.001258464	ZER1
0.001254649	AGAP9
0.001251896	FBXO32
0.001244942	BCL2L2-PABPN1
0.001241729	ZSCAN5A
0.001240749	CYFIP2
0.001236495	METTL15
0.001232987	LY75
0.001229556	NUP133
0.00122835	GABARAPL2
0.001225599	HNRNPU
0.001221151	EIF2D
0.001220339	CACNA2D2
0.00121225	YPEL4
0.001209639	CRTC3
0.001204911	P0DP01
0.001203502	P2RY1
0.001203382	TFPI
0.001201663	SELP
0.001195686	DCAF4
0.001193802	BMP1
0.001190594	KLHL17
0.001189967	DTHD1
0.001187537	TOM1
0.001181577	SCRG1
0.001177647	PISD
0.001175936	CD72
0.00117593	CLTB
0.001172214	SLC35D2
0.001171776	USB1
0.001165537	IL17RD
0.001164811	AC 3:0_RT_1.408
0.001163307	SERF1B
0.001161656	ZNF749
0.001157556	ZNF266
0.001151056	SHOC1
0.001149083	LARP1B
0.001145028	PI3
0.001138745	WDR43
0.001133498	DISP1
0.001132982	TMTC4
0.001130837	PREX1
0.00112217	MGLL
0.001115498	C5AR1
0.001110121	NDUFS4
0.001109724	C21orf58
0.001107727	GPR82
0.001105369	STAT2
0.001104799	MOG
0.001099027	ZNF444
0.001093365	RIPK2
0.001091646	UPK3BL2
0.001086389	BMP2
0.001085973	SARM1
0.00108564	APH1A
0.001080854	GFOD2
0.001078716	OSBPL6
0.001078677	TNFRSF10B
0.001075893	KDM4A
0.001075861	SCMH1
0.001074103	KLHL6
0.001071948	ADAMTSL5
0.001071522	EPB41L4A
0.001070447	KCNA6
0.001064985	THAP4
0.001064784	SARAF
0.001060156	P0C0L4;P0C0L4-2
0.001056394	CD244
0.001053327	CLEC3B
0.001051873	FAM89A
0.001050702	SFXN1
0.001050137	PTPMT1
0.00104834	JAZF1
0.001044685	KCTD20
0.001044513	MRTFB
0.001044158	CD22
0.001042646	MLXIP
0.00103929	FXN
0.001039202	NBPF11
0.001039047	TRIM7
0.001037997	MOK
0.001035876	CEACAM4
0.001034865	FSBP
0.001033004	TRIM44
0.001030473	PHF12
0.001027947	AMT
0.001025252	P01700
0.001021418	CASS4
0.00101708	MRTO4
0.001016295	UCHL1
0.00101472	NELFCD
0.001012105	NDUFAF3
0.001011252	P06744;A0A2U3TZU2;A0A0A0MTS2;P06744-2;K7EQ48;A0A2R8Y6C7;A0A0J9YYH3;A0A0J9YXP8;A0A0J9YX90
0.001006896	IFT46
0.001005749	SLC16A3
0.001005472	RUBCNL
0.000998459	SLC6A4
0.000993212	THOC1
0.000989717	MYB
0.000988823	ZBTB7B
0.000988696	SLC16A7
0.00098735	POFUT1
0.000986362	OAF
0.000984462	MKI67
0.000978839	CD53
0.000977005	PLEKHG4
0.000976945	MIGA1
0.000971647	MAK16
0.000967257	EEF1AKMT3
0.000966868	RAD23B
0.0009665	KIF3C
0.00096585	CCT6B
0.000965023	P35858;P35858-2
0.000964589	REEP4
0.000963381	TTC27
0.000960569	SLC44A1
0.000957343	RBM12
0.000953508	CHST7
0.000953204	IQGAP1
0.000953113	LRBA
0.000947091	PRR29
0.000941669	Q9UNW1;Q9UNW1-3;Q9UNW1-2;Q9UNW1-4
0.000941467	AKIRIN2
0.00093838	SCAP
0.000938125	XRN1
0.000934592	ADA2
0.0009342	GNL1
0.000932109	CEPT1
0.000930479	ICAM2
0.000930386	ZNF664
0.000929112	CXCL16
0.0009283	SUCLG1
0.00092802	SLC36A4
0.000926156	JMJD7-PLA2G4B
0.000923449	SLC25A42
0.000919418	IDNK
0.00091921	FAM20A
0.000911973	PPP4R2
0.000910419	S1P d18:1_RT_10.744
0.000906513	P05160
0.000906218	ARHGEF4
0.000904679	ZNF319
0.000902796	RABL2A
0.000902627	ZBTB3
0.000900813	SLC5A5
0.000898736	LGALS3
0.000896762	SH2D3C
0.000896307	AMDHD1
0.000892184	TEX14
0.000891037	ZNF761
0.000890444	ARRB1
0.00089005	PITPNA
0.000889934	CCAR1
0.000888853	RPL15
0.000887871	NUDT14
0.000887413	IQCG
0.000886688	LBHD1
0.000885691	FCMR
0.000885377	FAM219A
0.000883507	ABCB11
0.000883501	CORO2A
0.000883412	DOCK2
0.000882083	IRAK2
0.00088179	CAMKK1
0.000881034	TGOLN2
0.000878013	SRPK1
0.000876918	SUSD2
0.000876795	UBA5
0.000876546	YPEL1
0.000875939	DUS2
0.000874965	SPTA1
0.000874416	SPDYE6
0.000871977	QSOX1
0.000871805	Plasmanyl-PC O-42:5_RT_24.541
0.000870603	SIN3B
0.000866855	MTRNR2L1
0.000861665	P02748
0.000860926	AKIP1
0.000859338	TTC9C
0.000856175	RSBN1
0.000855962	TG 16:0_18:0_18:0_RT_34.031
0.00085448	EED
0.000853622	CEP70
0.000852198	PCYT1A
0.000851628	SLC7A1
0.000851239	BRIX1
0.000850768	EDEM2
0.000849972	DAPK2
0.000848384	ZCWPW1
0.00084808	AKAP1
0.000847696	SELPLG
0.000847502	CYSTM1
0.00084583	TRMT61B
0.000843042	STIM2
0.000842744	RBPJ
0.000841688	CD68
0.000840092	FOSL2
0.000839634	PTCD3
0.000834537	NAB2
0.000834406	CYP4F22
0.000834308	C9JB55
0.000834005	ATP6V0B
0.000833671	ZNF649
0.000832675	SLC35A2
0.000829794	TTC12
0.000824028	CD55
0.000823823	MRPL9
0.000815238	ZBTB38
0.000814449	PPP1R32
0.000810902	GOLGA6C
0.000809561	ITGB2
0.000809149	ADK
0.0008089	ELP3
0.000806125	SEC24C
0.000803996	DHODH
0.000800085	SLC49A4
0.000799386	LPXN
0.000798532	FXR2
0.00079436	INTS6
0.000794032	TMF1
0.000792013	EPCAM
0.000790833	ARID1B
0.00078974	ARHGEF6
0.000785857	LMLN
0.000785654	TRIB1
0.000783256	DVL1
0.000780615	ATP11C
0.000776958	NCOA3
0.000775583	WBP11
0.000770995	LINGO3
0.000770433	PC O-35:3_RT_21.843
0.00076903	IFRD1
0.000766516	RANBP6
