biomolecule_id	standardized_name	biomolecule_type		Log2(COVID-19/non-COVID-19)	q_value for COVID-19 association	q_value for HFD-45 association	Elastic_Net_coefficient predicting HFD-45
4247	Plasmenyl-PC P-16:0_16:1_RT_22.022	lipid		-2.55393963	3.07E-07	0.000162549	0.039942323
6985	CE 16:1_RT_31.781	lipid		-1.506230832	0.007936155	3.59E-06	0.019324803
4493	Plasmenyl-PC P-36:3_RT_22.761	lipid		-1.174179696	0.000104633	2.56E-07	0.042881969
4276	PC O-36:4_RT_22.086	lipid		-1.097193996	0.015359688	0.000344094	0.027980705
4492	Plasmanyl-PC O-36:4_RT_22.759	lipid		-1.034832445	0.000740703	3.96E-08	0.101205355
4632	Plasmenyl-PC P-34:1_RT_23.185	lipid		-0.934224681	0.005121685	0.029224814	0.044938542
4376	Plasmanyl-PC O-34:3_RT_22.376	lipid		-0.86560551	0.011424552	3.71E-05	0.032339859
4760	PC 42:6_RT_23.452	lipid		-0.861410508	0.000244706	0.001232058	0.032044955
4137	PC 20:4_20:3_RT_21.475	lipid		-0.73369595	0.029740191	0.003965528	0.019756799
4215	PC 38:5_RT_21.91	lipid		-0.351283628	0.005534534	0.001748886	0.017200094
4822	PE 18:0_20:3_RT_23.582	lipid		0.243601128	0.048479787	0.027637849	-0.043909206
5018	PC 37:7_RT_23.94	lipid		0.556986086	0.038030034	2.47E-05	-0.022268471
5335	Plasmanyl-PE O-18:0_18:1_RT_24.577	lipid		0.572947088	0.005016518	0.01407166	-0.008435211
4267	PS 18:2_18:2_RT_22.062	lipid		0.600577445	0.001219488	4.19E-06	-0.041947906
4990	Plasmanyl-PE O-18:0_18:2_RT_23.91	lipid		0.632165984	0.015256672	0.009576479	-0.029022998
4080	PE 16:0_18:3_RT_21.276	lipid		0.642576815	0.012727368	5.86E-05	-0.086113991
4823	PC 35:3_RT_23.583	lipid		0.654869219	0.035335135	0.000448858	-0.083729223
4755	PE 35:1_RT_23.425	lipid		0.661544561	0.016572496	0.000157076	-0.048586481
5504	Cer[NS] d38:1_RT_24.924	lipid		0.668960453	0.000254425	0.003822768	-0.032871596
572	AC 3:0_RT_1.408	lipid		0.913606346	0.011675557	1.59E-05	-0.064655441
4453	PE 17:0_18:2_RT_22.672	lipid		1.02333581	0.001439107	0.000453275	-0.028795296
7578	Citric Acid	metabolite		-0.690481433	0.000219656	0.000633828	0.813344102
37	2-Ketoisocaproic acid RT8.802217	metabolite		-0.495632888	0.014253443	0.000180349	1.289764878
7662	 CRTAC1 	protein		-2.444875364	1.41E-06	4.92E-06	0.333678489
8336	 APOA2 	protein		-0.835548089	5.69E-06	1.26E-08	0.266401546
7921	 AHSG 	protein		-0.718041468	3.60E-06	5.97E-07	0.156317265
7974	 GSN 	protein		-0.655304263	1.17E-07	5.03E-08	0.501907785
8298	 PGLYRP2 	protein		-0.650154008	0.00014154	6.39E-07	0.006760581
7735	 ACSL6 	protein		-0.65011487	0.005782775	0.000103281	0.344342087
7758	 CLEC3B 	protein		-0.624846174	2.99E-06	5.83E-07	0.495663673
7733	 APOD 	protein		-0.612211487	8.08E-05	6.41E-06	0.610348407
