Unknowns in Biomolecules table (lipidomics platform)				Compound discoverer (3.1) - discovery metabolomics database search results matching to unknowns																										
biomolecule_id	standardized_name	omics_id	keep	Name	Formula	Annotation.Source..Predicted.Compositions	Annotation.Source..mzCloud.Search	Annotation.Source..mzVault.Search	Annotation.Source..ChemSpider.Search	m/z	Ion	Molecular Weight	Retention time (min)	Area maximum	Number of ChemSpider Results	Number of mzCloud Results	Number of mzVault Results	Number of KEGG Pathways	KEGG Pathways	mzCloud Best Match	mzVault Best Match	mzVault Library Match  Bamba lab 34 lipid mediators library stepped NCE 10 30 45	mzVault Library Match  Bamba lab 598 polar metabolites stepped NCE 10 30 45	mzVault Library Match  Customer_Library_ESI_WatersAmideHILIC_HCD_20200102_YYZ	mzVault Library Match  KI GIAR_zic HILIC_Pos_v0 90_814 entries_20200213	mzVault Library Match  MassBank_60770 entries_20200213	mzVault Library Match  Fiehn HILIC_3061 entries_20200213	mzVault Library Match  Combined_79246Pos_36055Neg_MassBank_20200213	mzCloud Best Sim  Match	MS2
583	Unknown_mz_229.15463_+_RT_1.417	2	1	Prolylleucine	C11 H20 N2 O3	Full match	Full match	No results	Partial match	229.15463	[M+H]+1	228.14734	1.415	1105775429	2	4	0	0		81.5	NA	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	NA	DDA for preferred ion
669	Unknown_mz_254.05922_+_RT_1.513	2	1	Sulfamethoxazole	C10 H11 N3 O3 S	Full match	Full match	Full match	Full match	254.05922	[M+H]+1	253.05196	1.515	755200520.6	1	1	48	0		95.3	95.8	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
705	Unknown_mz_209.02945_-_RT_1.63	2	1	D-Saccharic acid	C6 H10 O8	Not the top hit	Full match	Full match	Full match	209.02945	[M-H]-1	210.0367	1.632	76748825.45	3	1	11	2	Metabolic pathways;Other	81.5	88.1	No matches found	Single match found	No matches found	No matches found	Single match found	Single match found	Multiple matches found	NA	DDA for preferred ion
742	Unknown_mz_315.07983_+_RT_2.095	2	1	Valdecoxib	C16 H14 N2 O3 S	No match	Full match	Invalid mass	Full match	315.07983	[M+H]+1	314.07233	2.098	131609870.8	9	1	1	9	Biosynthesis of secondary metabolites;Metabolic pathways;Ubiquinone and other terpenoid-quinone biosynthesis;Other	68.5	55.8	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Single match found	NA	DDA for preferred ion
824	Unknown_mz_291.14508_+_RT_2.49	2	1	Trimethoprim	C14 H18 N4 O3	Not the top hit	Full match	Full match	Partial match	291.14508	[M+H]+1	290.13786	2.492	259540357.5	2	2	100	0		94.8	89.9	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
853	Unknown_mz_413.1416_+_RT_2.896	2	1	N6-Threonylcarbamoyladenosine	C15 H20 N6 O8	Not the top hit	No results	Full match	Not the top hit	413.1416	[M+H]+1	412.13432	2.899	6594958.175	4	0	10	0		NA	82	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
893	Unknown_mz_235.18073_+_RT_3.479	2	1	Lidocaine	C14 H22 N2 O	Full match	Full match	Full match	Partial match	235.18073	[M+H]+1	234.17326	3.481	31185233.16	5	1	58	1	Other	68.8	78.5	No matches found	Single match found	No matches found	No matches found	Multiple matches found	Single match found	Multiple matches found	NA	DDA for preferred ion
896	Unknown_mz_212.11839_+_RT_3.631	2	1	Varenicline	C13 H13 N3	Not the top hit	Full match	Full match	Full match	212.11839	[M+H]+1	211.11106	3.634	48121652.52	4	1	20	0		76.2	92.7	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
906	Unknown_mz_238.09926_+_RT_3.761	2	1	Ketamine	C13 H16 Cl N O	Full match	Full match	Full match	Full match	238.09926	[M+H]+1	237.09192	3.763	28907998.63	2	2	39	0		87.9	89.5	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
914	Unknown_mz_555.05383_+_RT_3.769	2	1	Cefatriaxone	C18 H18 N8 O7 S3	Not the top hit	Full match	No results	Full match	555.05383	[M+H]+1	554.0461	3.771	945022098.6	2	1	0	0		69.7	NA	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	NA	DDA for preferred ion
917	Unknown_mz_553.03851_-_RT_3.772	2	1	Cefatriaxone	C18 H18 N8 O7 S3	Not the top hit	Full match	No results	Full match	553.03821	[M-H]-1	554.0461	3.771	945022098.6	2	1	0	0		69.7	NA	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	NA	DDA for preferred ion
941	Unknown_mz_308.07727_-_RT_3.855	2	1	P-Acetamidophenyl-b-D-glucuronide	C14 H17 N O8	No match	No results	Full match	Partial match	308.077	[M-H-H2O]-1	327.0947	3.86	24718325.65	3	0	1	0		NA	32.5	No matches found	Single match found	No matches found	No matches found	No matches found	No matches found	No matches found	NA	DDA for preferred ion
956	Unknown_mz_247.108_+_RT_3.922	2	1	N-Phenylacetylglutamine	C13 H16 N2 O4	Full match	Full match	Full match	Full match	247.108	[M+H-H2O]+1	264.11073	3.925	2156773278	4	1	4	2	Other	66.1	90.6	No matches found	No matches found	No matches found	No matches found	No matches found	Multiple matches found	Multiple matches found	NA	DDA for preferred ion
957	Unknown_mz_265.11777_+_RT_3.923	2	1	N-Phenylacetylglutamine	C13 H16 N2 O4	Full match	Full match	Full match	Full match	265.11835	[M+H]+1	264.11073	3.925	2156773278	4	1	4	2	Other	66.1	90.6	No matches found	No matches found	No matches found	No matches found	No matches found	Multiple matches found	Multiple matches found	NA	DDA for preferred ion
978	Unknown_mz_213.11215_+_RT_3.951	2	1	"(2S)-2-[(1S,2R)-1,2-dihydroxypentyl]-4-methoxy-2,3-dihydropyran-6-one"	C11 H18 O5	Full match	No results	Full match	No match	213.11206	[M+H-H2O]+1	230.11536	3.946	41206863.94	1	0	4	0		NA	57.2	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
978	Unknown_mz_213.11215_+_RT_3.951	2	1	"4-methyl-5-oxo-2-pentyl-2,5-dihydrofuran-3-carboxylic acid"	C11 H16 O4	Full match	Full match	Full match	Partial match	213.11209	[M+H]+1	212.10487	3.949	23696224.38	3	3	6	3	Biosynthesis of secondary metabolites;Metabolic pathways;Other	81	65.4	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
982	Unknown_mz_358.20038_+_RT_3.988	2	1	Laudanosine	C21 H27 N O4	Full match	Full match	Full match	Partial match	358.20038	[M+H]+1	357.19319	3.987	1497744384	4	1	35	0		94	94.3	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
998	Unknown_mz_268.19049_+_RT_4.061	2	1	Metoprolol	C15 H25 N O3	Full match	Full match	Full match	Full match	268.19049	[M+H]+1	267.18325	4.063	31380658.68	1	1	51	0		95.5	90	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
1042	Unknown_mz_409.14612_+_RT_4.35	2	1	"(1S,3R,6R,7S,8S,10R,13S,16S,17R)-8-tert-butyl-6,17-dihydroxy-16-methyl-2,4,14,19-tetraoxahexacyclo[]nonadecane-5,15,18-trione"	C20 H24 O9	Not the top hit	Full match	No results	No match	409.14612	[M+H]+1	408.13911	4.352	23466107.53	1	1	0	2	Biosynthesis of secondary metabolites;Other	67.8	NA	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	NA	DDA for preferred ion
1056	Azithromycin_Unknown_mz_749.5155_+_RT_4.421	2	1	Azithromycin	C38 H72 N2 O12	Full match	Full match	Full match	Full match	749.5155	[M+H]+1	748.50869	4.424	19859340.39	3	1	20	0		69	89.5	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
1063	Unknown_mz_254.05922_+_RT_4.462	2	1	Sulfamethoxazole	C10 H11 N3 O3 S	Full match	Full match	Full match	Full match	254.05922	[M+H]+1	253.05199	4.464	3095417136	1	2	96	0		96.6	98.1	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
1064	Unknown_mz_409.17908_+_RT_4.465	2	1	Tamsulosin	C20 H28 N2 O5 S	No match	Full match	No results	No match	409.17908	[M+H]+1	408.17176	4.464	33649041.55	2	1	0	0		85.3	NA	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	NA	DDA for preferred ion
1098	Unknown_mz_338.15097_+_RT_4.667	2	1	Linezolid	C16 H20 F N3 O4	No match	Full match	Full match	Full match	338.15097	[M+H]+1	337.14351	4.669	1033642407	4	1	16	0		90.6	95.4	No matches found	No matches found	No matches found	No matches found	Multiple matches found	Multiple matches found	Multiple matches found	NA	DDA for preferred ion
1189	Unknown_mz_213.96338_-_RT_4.886	2	1	2-Benzothiazolesulfonic acid	C7 H5 N O3 S2	Full match	No results	Full match	No results	213.96338	[M-H]-1	214.97057	4.887	22354352.06	0	0	6	0		NA	93.6	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
1204	Unknown_mz_296.07001_+_RT_4.947	2	1	N4-Acetylsulfamethoxazole	C12 H13 N3 O4 S	Not the top hit	Full match	Full match	Full match	296.07001	[M+H]+1	295.06256	4.949	1398822197	1	1	60	0		95.1	91.5	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
1209	Unknown_mz_217.10738_-_RT_4.956	2	1	3-Hydroxysebacic acid	C10 H18 O5	Full match	No results	Full match	Partial match	217.10738	[M-H]-1	218.11476	4.959	33427394.46	3	0	2	0		NA	59.8	No matches found	No matches found	No matches found	No matches found	No matches found	Single match found	Single match found	NA	DDA for preferred ion
1210	Unknown_mz_303.05392_-_RT_4.963	2	1	Haemoventosine	C15 H12 O7	No match	No results	Full match	No match	303.05392	[M-H]-1	304.06128	4.964	85428112.78	3	0	1	4	Biosynthesis of secondary metabolites;Metabolic pathways;Biosynthesis of phenylpropanoids;Other	NA	43.2	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Single match found	NA	DDA for preferred ion
1234	Unknown_mz_206.0829_+_RT_5.052	2	1	Indole-3-lactic acid	C11 H11 N O3	Full match	Full match	Full match	Full match	206.0829	[M+H]+1	205.07562	5.053	13120374.87	8	2	15	2	Metabolic pathways;Other	86.6	88.4	No matches found	No matches found	No matches found	No matches found	Multiple matches found	Multiple matches found	Multiple matches found	NA	DDA for preferred ion
1234	Unknown_mz_206.0829_+_RT_5.052	2	1	Indole-3-lactic acid	C11 H11 N O3	Full match	Full match	Full match	Partial match	206.08095	[M+H]+1	205.07313	5.055	39145219.02	8	1	4	2	Metabolic pathways;Other	85.3	82.8	No matches found	No matches found	No matches found	No matches found	No matches found	Multiple matches found	Multiple matches found	NA	DDA for preferred ion
1236	Unknown_mz_204.06581_-_RT_5.053	2	1	Indole-3-lactic acid	C11 H11 N O3	Full match	Full match	Full match	Partial match	204.06567	[M-H]-1	205.07313	5.055	39145219.02	8	1	4	2	Metabolic pathways;Other	85.3	82.8	No matches found	No matches found	No matches found	No matches found	No matches found	Multiple matches found	Multiple matches found	NA	DDA for preferred ion
1264	Unknown_mz_239.09184_-_RT_5.113	2	1	"NCGC00169556-02!3-(3,4,5-trimethoxyphenyl)propanoic acid"	C12 H16 O5	Full match	No results	Full match	Partial match	239.09184	[M-H]-1	240.09911	5.113	133217854.8	13	0	1	1	Chemical carcinogenesis	NA	46.4	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Single match found	NA	DDA for preferred ion
1292	Unknown_mz_362.11694_+_RT_5.152	2	1	Omeprazole sulphone	C17 H19 N3 O4 S	Full match	Full match	Full match	Partial match	362.11639	[M+H]+1	361.10948	5.154	28417712.47	4	2	1	0		87.2	39.4	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Single match found	NA	DDA for preferred ion
1297	Unknown_mz_585.27063_+_RT_5.161	2	1	Bilirubin	C33 H36 N4 O6	Not the top hit	Full match	Full match	Full match	585.27063	[M+H]+1	584.26341	5.162	22855343.56	7	1	3	4	Biosynthesis of secondary metabolites;Metabolic pathways;Bile secretion;Porphyrin and chlorophyll metabolism	79.1	75	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
