Control_10h	Control_24h	Control_2h	Control_6h	Virus_10h	Virus_24h	Virus_2h	Virus_6h	Contrib.Control_10h	Contrib.Control_24h	Contrib.Control_2h	Contrib.Control_6h	Contrib.Virus_10h	Contrib.Virus_24h	Contrib.Virus_2h	Contrib.Virus_6h	Contrib	GroupContrib	color	importance
NMRAL1	-0.244291153911434	2.04680281059424	0.759479670295006	-1.05584933333899	0.00537243230807464	-1.34775401226772	-0.0675813159871169	0.104213144459272	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.0325501576819228
TIMM8A	0.784243697012718	1.15953335556227	0.692609424899591	-1.86477506799001	0.148361142418859	-0.451004193665378	0.303350411471049	-0.0453486592892546	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.0316641912453791
PSAT1	0.00834733611259038	1.61777926059985	0.617767830554781	-1.96613903705272	-0.220015626935133	0.117315528490036	-0.079706059007495	-0.293144706477675	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.0315062076729038
TYMS	-0.170957548326752	1.9889935957125	0.134730697349302	-1.10846263615673	-0.0470218413536123	-0.307703114015626	-0.260987000580692	-0.536619220843571	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.0313756343329163
CETN2	0.282702085999998	2.08962026696907	-0.180621540738912	-1.89577380200855	-0.343282942493512	0.144602940995132	-0.150027623934841	-0.186211043046336	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.0310048832399026
CDK2	0.161698857105548	1.48469338873765	0.984531538099849	-1.3120823231686	-0.94945184725013	0.0959415996614775	-0.0326753214040065	-0.346349303422269	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.030868339832843
BUB1B	-0.329635513027329	2.15180401066443	-0.308664187696569	-1.45700052754141	0.270004834800063	-0.604407553917806	0.413677680989456	-0.199976616722915	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.030843571143456
NUSAP1	-0.797061415074233	2.14449237396529	0.28627300885825	-0.964209323781193	-0.547290442566012	-0.740372560171881	0.530582210876417	-0.293910354578766	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.0305985859387976
NME1	-0.371169903688728	1.26191596776438	0.422955980398469	-1.90487519346587	1.11767811284149	-0.295016142655071	0.402404871356629	-0.69944968194368	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.0305820150350754
TOP2A	-0.771079458546424	1.62004460431409	0.934551714204427	-1.09940143172155	-0.23537236428466	-0.670161038290826	0.623395374132268	-0.295492510090762	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.0305176341846629
