Control_10h	Control_24h	Control_2h	Control_6h	Virus_10h	Virus_24h	Virus_2h	Virus_6h	Contrib.Control_10h	Contrib.Control_24h	Contrib.Control_2h	Contrib.Control_6h	Contrib.Virus_10h	Contrib.Virus_24h	Contrib.Virus_2h	Contrib.Virus_6h	Contrib	GroupContrib	color	importance
HNRNPU	-0.194982599537739	-0.424086319946265	-0.562922003852837	-0.379493350970409	-0.255244837442724	2.52527403894085	-0.520118737245329	-0.283377933448285	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0495686324551646
CEBPZ	-0.335722303322338	-0.460191961955942	-0.530397442849409	-0.17190116722065	-0.268045300521274	2.53413929091343	-0.338902608441215	-0.523006686543987	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0493749866078718
C1QBP	0.212073047255635	-0.388812317143244	-0.613738619376425	-0.44311204193162	-0.400929871894658	2.59249209717871	-0.485548955259434	-0.524936356586989	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0491690381863192
CCDC47	-0.281109927968177	-0.641203912112995	-0.760767425700257	-0.191702433625082	-0.209454090951753	2.4504959278747	-0.54199890348073	-0.328682996078594	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0490051854479466
CHCHD3	-0.45299694754968	-0.294019767542981	-0.41466682238377	-0.636631598746978	-0.347364964545379	2.5216287239122	-0.0249852558774755	-0.395937570929212	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0486354894366263
C16orf62	-0.0510142919554342	-0.771386942027477	-0.097189766578993	-0.381565144961276	-0.310443812805303	2.30042911102505	-0.498068845690951	-0.641227228061273	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.048614484592768
CAPZB	-0.23938982792075	-0.804589387949857	-0.00428651816288176	-0.457412931732487	-0.391465691938521	2.37058198180802	-0.0124289035808045	-0.526002137169839	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0485752133153246
CFL2	-0.23697907035041	-0.513829656576789	-0.00364115737042828	-0.317453570996244	-0.31622402609995	2.44044515951334	-0.605495779620942	-0.437982009387611	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0485694274698481
C9orf64	-0.0914705013342025	-0.569235811968592	-0.359984007979589	-0.668379922432487	-0.123879356205658	2.52674072113235	-0.315402565340716	-0.535573658967589	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0485580315661813
CTSB	0.119747822998632	-0.160778046430162	0.753977778488707	0.719026038508947	-0.154254379810048	-2.34924801096449	0.407423493182853	0.806526592609464	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	Virus_6h	#D55E00	0.0484961429602908
