Control_10h	Control_24h	Control_2h	Control_6h	Virus_10h	Virus_24h	Virus_2h	Virus_6h	Contrib.Control_10h	Contrib.Control_24h	Contrib.Control_2h	Contrib.Control_6h	Contrib.Virus_10h	Contrib.Virus_24h	Contrib.Virus_2h	Contrib.Virus_6h	Contrib	GroupContrib	color	importance
Q00839	-0.194982599537734	-0.424086319946266	-0.562922003852832	-0.379493350970408	-0.255244837442723	2.52527403894085	-0.520118737245329	-0.283377933448292	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.421143495568683
Q9Y281	-0.23697907035041	-0.513829656576787	-0.00364115737042679	-0.317453570996244	-0.316224026099949	2.44044515951333	-0.605495779620944	-0.437982009387609	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.40901379516921
P47756	-0.239389827920748	-0.804589387949852	-0.00428651816288256	-0.45741293173249	-0.391465691938518	2.37058198180801	-0.0124289035808067	-0.526002137169846	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.395344080429802
Q7Z3J2	-0.0510142919554344	-0.771386942027477	-0.0971897665789928	-0.381565144961276	-0.310443812805303	2.30042911102505	-0.498068845690951	-0.641227228061271	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.381481594021272
Q03701	-0.335722303322346	-0.460191961955943	-0.530397442849409	-0.171901167220652	-0.268045300521271	2.53413929091343	-0.338902608441213	-0.523006686543979	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.37259278285237
Q9NX63	-0.452996947549679	-0.29401976754298	-0.414666822383769	-0.636631598746979	-0.347364964545377	2.52162872391221	-0.0249852558774756	-0.395937570929215	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.306464390852488
Q07021	0.21207304725564	-0.388812317143242	-0.613738619376413	-0.443112041931622	-0.400929871894661	2.59249209717871	-0.485548955259425	-0.524936356587	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.237617510108413
Q5T6V5	-0.0914705013342011	-0.569235811968593	-0.359984007979587	-0.668379922432487	-0.123879356205659	2.52674072113235	-0.315402565340716	-0.535573658967593	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.202598577886994
Q96A33	-0.281109927968174	-0.641203912112994	-0.760767425700253	-0.191702433625081	-0.209454090951756	2.4504959278747	-0.541998903480723	-0.328682996078601	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.150855550188163
P21291	-0.676496441301956	-0.367716128236934	-0.414200630150416	-0.436942004127418	-0.400914897237181	2.25919272433412	-0.079241387037379	-0.182593987687366	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0225667101010759
P30040	0.920768140858293	1.82233560264311	-0.609295246046872	-0.747499174982914	-0.57701104722315	0.308044264526608	-1.13557459340185	-0.505910593040258	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.88150700727262
O75438	0.383663070695392	2.32383271758166	-0.0257703560512224	-0.215852958213971	-0.490566026175099	0.175489824673112	-1.11787586390873	-0.444960516334585	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.356082691000478
P09211	0.617990101281858	1.67245607223331	-0.952592527892008	0.169866476906345	-0.0338870855694504	-0.614492428467982	-1.10865146606167	-0.0536478018111266	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.277973810069855
P35754	-0.120351844026495	-1.68008723085634	1.06651975881998	1.12177763286988	-0.63206757339798	-0.557745525394534	0.487003415528046	0.37666109188427	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_6h	#009E73	0.137075881243301
P10412	-0.348043793089385	2.67356786808694	0.0312318783173632	-0.181447742681582	-0.378008454744414	-0.645141183852812	-0.396697905016492	-0.479538868533757	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	-0.00955389950480382
P11142	1.77362428545482	-0.810416737182215	-1.07781536365165	0.705951268802196	0.784379167584271	-0.688406156388815	-1.0618819166971	0.615859335261495	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	-0.526911728369253
P08865	2.08282233948972	-0.57982498586363	-0.789735815818353	0.320291642879797	0.767053988886965	-0.881571555876457	-0.990181230222928	0.279845291377426	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	-0.352173946483714
Q14978	1.68661140155709	-0.546828750743573	-0.836080297036537	0.829101711720635	0.417660806871966	-1.23952478153416	-0.948607516914867	0.778263810727518	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	-0.32771496879517
P05787	1.13579614371272	-1.38962919835913	-0.58304246781007	1.01914400768465	0.595997073875959	-0.803597970060674	-0.745156366850359	0.904970384304246	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	-0.290561678617705
P05783	1.19819659213089	-1.12084403590664	-0.574042907970365	0.84519286742261	0.7678715996414	-1.44628280456961	-0.742683601625036	0.839040622988451	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	-0.281443876682941
Q14566	1.14001017253752	-0.463929193318627	-1.281655841711	1.11187791408385	0.383183754750013	0.664343116810152	-1.36156681453053	0.227262856603733	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	-0.227251173879422
P19338	1.76915445327138	-0.522629663057384	-0.681459717933182	0.798107311681086	0.295509618646621	-1.02430487823712	-1.14220185924729	0.679641275139919	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	-0.212293433843454
P08238	1.08832256419956	-0.871398810882519	-0.732728464065874	0.777281629493411	0.117790268478327	-0.220227470668588	-1.12464425633258	0.804173225158289	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	-0.193291498290353
P06748	1.73532092920052	-0.59182246012289	-1.00795960009421	0.373715750020309	0.35299162404821	-0.632885888268557	-0.961313920528321	0.911579412153014	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	-0.185575180507266
P28370	-0.653674086516611	1.46531218062556	0.895562791735528	-0.727518455243049	-1.02055953247722	1.00721127724721	0.485269683290258	-1.10376104474125	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	0.185308800175479
P11216	2.12864564793118	-0.759869067917615	-0.805642489731131	-0.00939138896143579	1.08616476616282	-0.308399550786739	-0.435671510035349	-0.0283554474093263	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	-0.176985099348938
P27635	1.60305780025545	-0.342236437215769	-0.903120399151089	0.163963293923285	0.372794955152187	0.140039045420313	-1.21042254070262	0.401986430183141	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	-0.158082286034766
P32969	1.6776858928374	-0.859985701548097	-0.933987365314059	0.321645854203344	0.706524965033401	0.00111129773766918	-0.322317307238761	-0.360000397275253	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	-0.156702099564166
P05388	1.57292795066392	-0.681008305293865	-0.464464799691603	0.664630006538969	0.644292307683451	-0.314855090918108	-1.09879488207749	0.0438877909816304	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	-0.123098545163879
Q13907	-0.698703356224461	1.91454401272119	0.74025804092525	-0.563436438059339	-0.953551477704242	-0.670407076742013	1.00773568964056	-0.530464403015291	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	0.0976621264965781
Q8NC51	1.00728533185683	-0.0153327613924532	-1.41403455008662	1.14868897270595	0.480932842683058	-0.306504141784426	-0.755221753902716	0.30362826454891	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_6h	#009E73	-0.089923567014633
P53602	-0.443520642723998	1.365611642452	0.877774417757931	-0.0808290142936558	-1.04556478742844	-0.28990556223141	0.924588783394988	-0.979923222396831	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	0.0787589532762041
P68104	1.2642682097867	-0.825999782704134	-0.412471993648883	0.992905080170431	0.211404423815187	-1.42943228212867	-0.604534083043208	0.887033882011119	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	-0.0554747485363069
P39023	1.35377461686829	-0.600570278267371	-1.33803485992676	0.764314469427513	0.956072186016037	-0.768230111785329	-0.0731139960382908	0.329735486428469	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	-0.0384034028934459
P62841	1.78756658596175	-0.909253674861532	-0.797386019288954	-0.0920775188908287	0.736879847103578	-0.434423374196406	-0.778628287858457	0.124777182527793	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	-0.0071470887077402
Q9NQG5	0.244977057951809	0.868830487692267	-0.898418730099586	1.49999019755877	-1.04988392526347	0.0988469348772314	-0.827355582600654	-0.596559378486566	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_6h	#009E73	0.660822386610485
Q9BUL9	-0.0120189171237451	0.141967809279558	-1.12973824264842	1.58380232900129	-1.0740449933092	1.48823591712681	-0.631700299003874	0.197296336142738	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_6h	#009E73	0.515350581308522
Q96EL3	0.10229912452375	1.29470169907579	-0.742754804092011	1.62570064552077	-0.901301643318267	-0.469964683525565	-0.579209950625326	0.42705819373068	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_6h	#009E73	0.506420831848617
P62316	0.199514148369903	1.19008995116157	-1.09661848583687	1.56742133853655	-0.34400776623354	-1.29579562765722	-0.801886123420604	-0.122032343672577	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_6h	#009E73	0.191718168817282
Q00341	-0.210746608511415	-0.699996371546441	-0.524778962322954	1.78823616335056	-0.387256673821873	-0.353037700337336	-0.539124744538714	-0.729609465499937	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_6h	#009E73	0.0671538272512704
O75368	0.219683706070271	-0.0046402510741672	1.36812774161535	-0.183941747453809	-1.05410820105356	0.879630079161032	-1.22056559127336	0.0276493060803167	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_2h	#C2C2C2	0.645505023268881
Q14527	-0.768559979131207	-0.943862066455534	-1.24519020131802	0.541091735530901	2.13237283911196	-0.0344685630091605	0.431480814277497	-0.187167056958845	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Virus_10h	#CC79A7	-0.628027266085106
Q8NHP8	0.193361367985619	-0.123952220927498	2.46962460752075	-0.661965976617	-0.455191902419966	-0.397143396812453	-0.697092932633106	-0.066721710231107	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_2h	#C2C2C2	0.318970052509546
P49643	0.924299221833647	0.0918409148692368	0.988251594692453	-0.603525639092494	-0.777433125448385	-0.716092950202434	-0.817408044006509	0.370409697443811	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_2h	#C2C2C2	0.292062556403501
Q8NE71	0.25899218337948	-0.445034706240886	2.3180514871377	-0.536570484972559	-0.693017194409301	0.352955832243513	-0.610024362893554	-0.160111810810492	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_2h	#C2C2C2	0.0431576961551224
Q86TU7	0.226929969224735	-0.573647206884627	-0.749864518640088	-0.52846163404931	-1.05529127864261	0.943795862106799	2.15734987691782	-0.156839894556451	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Virus_2h	black	-0.697949454141715
Q92626	0.198787399767769	0.0572496851782278	-0.407357803814871	-0.624572451357302	-0.731674998489296	-0.685027827535769	1.50282344797708	-0.289384974946552	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Virus_2h	black	-0.530725219430679
O60313	-0.213968367644956	-0.0353280545721416	-0.322693018601355	-0.734297746219455	-0.675549873043347	-0.114049243294095	2.38261552723849	0.330421182990141	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Virus_2h	black	-0.44677347878868
O75494	-0.0853444193368419	0.330314726305599	-1.10618507387932	-0.540849640203446	-1.06683129754122	1.24264700789661	1.86808557844212	-0.384792146353557	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Virus_2h	black	-0.158292342321511
Q8N6R0	0.0844095082147845	-0.00989065752565742	-0.594311598618024	-0.0475298055107281	-0.787507888405902	-0.458400414677442	2.18012816945887	0.117312858944667	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Virus_2h	black	-0.0808349796620838
P62273	-0.108779287803614	-0.56874804857356	-0.594548848176358	-0.482749298673542	-0.200884184436223	-0.0821803566261934	0.17614061268936	1.63424672944878	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	Virus_6h	#D55E00	0.67402318732473
P06280	-0.821283220962039	0.350647484413134	-1.02051686714391	1.10787811788091	-0.0318627092342803	-0.539263591382858	-0.250442678357289	1.3884502324758	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	Virus_6h	#D55E00	0.508060052502814
