Control_10h	Control_24h	Control_2h	Control_6h	Virus_10h	Virus_24h	Virus_2h	Virus_6h	Contrib.Control_10h	Contrib.Control_24h	Contrib.Control_2h	Contrib.Control_6h	Contrib.Virus_10h	Contrib.Virus_24h	Contrib.Virus_2h	Contrib.Virus_6h	Contrib	GroupContrib	color	importance
Q00839	-0.194982599537734	-0.424086319946266	-0.562922003852832	-0.379493350970408	-0.255244837442723	2.52527403894085	-0.520118737245329	-0.283377933448292	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.35531728899473
Q03701	-0.335722303322346	-0.460191961955943	-0.530397442849409	-0.171901167220652	-0.268045300521271	2.53413929091343	-0.338902608441213	-0.523006686543979	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.352307716623533
Q07021	0.21207304725564	-0.388812317143242	-0.613738619376413	-0.443112041931622	-0.400929871894661	2.59249209717871	-0.485548955259425	-0.524936356587	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.344041100650385
Q9Y281	-0.23697907035041	-0.513829656576787	-0.00364115737042679	-0.317453570996244	-0.316224026099949	2.44044515951333	-0.605495779620944	-0.437982009387609	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.309923125485417
Q7Z3J2	-0.0510142919554344	-0.771386942027477	-0.0971897665789928	-0.381565144961276	-0.310443812805303	2.30042911102505	-0.498068845690951	-0.641227228061271	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.309438793582337
P47756	-0.239389827920748	-0.804589387949852	-0.00428651816288256	-0.45741293173249	-0.391465691938518	2.37058198180801	-0.0124289035808067	-0.526002137169846	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.306330800966625
Q9NX63	-0.452996947549679	-0.29401976754298	-0.414666822383769	-0.636631598746979	-0.347364964545377	2.52162872391221	-0.0249852558774756	-0.395937570929215	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.284445655777724
Q5T6V5	-0.0914705013342011	-0.569235811968593	-0.359984007979587	-0.668379922432487	-0.123879356205659	2.52674072113235	-0.315402565340716	-0.535573658967593	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.262672321300215
Q96A33	-0.281109927968174	-0.641203912112994	-0.760767425700253	-0.191702433625081	-0.209454090951756	2.4504959278747	-0.541998903480723	-0.328682996078601	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.246561471482601
P55209	-0.457638639215461	-0.150283335781708	-0.389525383800381	-0.326153008274667	0.0251028225574166	2.3066870429439	-0.487020608136681	-0.862463133799475	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.190983869907063
O43242	-0.229059005326516	-0.0669397815939971	-0.266370948958694	-0.176249432714522	-0.608363467925769	2.81333607722612	-0.458793621881203	-0.421502405764146	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.15895857360015
P07858	0.119747822998635	-0.160778046430163	0.753977778488707	0.719026038508946	-0.154254379810053	-2.34924801096449	0.407423493182855	0.806526592609455	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	Virus_6h	#D55E00	0.142813517619407
P21291	-0.676496441301956	-0.367716128236934	-0.414200630150416	-0.436942004127418	-0.400914897237181	2.25919272433412	-0.079241387037379	-0.182593987687366	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.122485170170938
P30520	0.0783841129820517	-0.304361573234297	-0.5431799595801	-0.0703077493714792	-0.587381656794763	2.58015224858868	-0.651525704841509	-0.269660326311524	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0904784890015805
Q9Y230	-0.188351228989899	-0.251784304121271	-0.232387760645889	-0.352758460497254	-0.453027574532408	1.87782275920035	-0.268237195076294	-0.374327974496631	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.089700455599634
P61201	-0.0397180533372086	-0.445073349721352	0.0390295714700312	-0.405265004578481	0.0736046432841481	2.6739625531567	-0.503142951833425	-0.739763971456391	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0766613620586824
Q15758	0.459025875815431	-0.0378463071088013	-0.108663193863829	0.459046111765245	-0.133894036244762	-2.47239579523564	0.370060935739365	1.01904498437899	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	Virus_6h	#D55E00	0.0752948730361571
Q96BN8	-0.307146604694272	-0.326710555475196	-0.357224017082607	-0.0497757611819041	-0.356001156693075	2.98831264674693	-0.420173570597698	-0.464538757277668	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0576116355565414
Q9UNE7	-0.157555665265549	-0.745210837932664	0.0304188167404036	-0.289101512137144	-0.650268925483253	2.22488958937777	-0.540308824209752	-0.339821906533927	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0550114460272997
Q12864	0.476778091653519	-0.10221197273059	0.538403539760196	0.928909439342863	-0.333373309262086	-2.35965397597782	0.318909478880577	0.502357173507288	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_6h	#009E73	0.0369385566360982
P60468	0.602042429500176	0.181010536551075	0.0343984803432895	0.631760144634658	0.0307430563955758	-2.33922599636569	0.142385722938399	0.708574576482365	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	Virus_6h	#D55E00	0.0350945723489753
Q15642	-0.138466036148731	-0.527041522206575	-0.0703388342121802	-0.320259950174396	-0.0910092604668957	2.39996563496337	-0.694711219336634	-0.449349936659297	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0186563213721105
Q96DG6	-0.408774354430001	-0.562056952614493	-0.360343975418422	-0.14351471365641	-0.0516586255642795	2.13966277245828	-0.034717238190083	-0.47699114091239	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0184650724057943
Q8WXX5	0.169406521542097	-0.308135452069906	-0.635839020691782	0.0170231613370109	-0.272362019549869	2.33131241659398	-1.04385971584006	-0.299758065123319	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0162327397000649
O75348	0.44466684697134	0.407295801694368	0.172526182347367	0.766807874899551	-0.295518891848916	-2.36236461663884	0.217958997432305	0.486629281598087	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_6h	#009E73	0.0104378531071826
