DRUG_NAME	STRUCT_ID	TARGET_NAME	TARGET_CLASS	ACCESSION	GENE	SWISSPROT	ACT_VALUE	ACT_UNIT	ACT_TYPE	ACT_COMMENT	ACT_SOURCE	RELATION	MOA	MOA_SOURCE	ACT_SOURCE_URL	MOA_SOURCE_URL	ACTION_TYPE	TDL	ORGANISM
erlotinib	1045	BMP-2-inducible protein kinase	Kinase	Q9NSY1	BMP2K	BMP2K_HUMAN	5.92		Kd	Binding constant for BIKE kinase domain	CHEMBL	=			https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL553			Tchem	Homo sapiens
fentiazac	1165	Prostaglandin D2 receptor 2	GPCR	Q9Y5Y4	PTGDR2	PD2R2_HUMAN	6.26		IC50	Displacement of[3H]PGD2 from human CRTH2 receptor expressed in HEK385-7 cells	CHEMBL	=			https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL589092			Tchem	Homo sapiens
gefitinib	1282	Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform	Kinase	Q16816	PHKG1	PHKG1_HUMAN	5.43		Kd	Binding constant for full-length PHKG1	CHEMBL	=			https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL939			Tchem	Homo sapiens
lanreotide	1546	Somatostatin receptor type 3	GPCR	P32745	SSTR3	SSR3_HUMAN	8		Ki		IUPHAR	=			http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2031		AGONIST	Tclin	Homo sapiens
octreotide	1980	Somatostatin receptor type 3	GPCR	P32745	SSTR3	SSR3_HUMAN	8.3		Ki		WOMBAT-PK	=	1	CHEMBL		https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1680	AGONIST	Tclin	Homo sapiens
ramatroban	2354	Prostaglandin D2 receptor 2	GPCR	Q9Y5Y4	PTGDR2	PD2R2_HUMAN	8.37		Ki	Inhibition of [3H]PGD-2 binding to human chemoattractant receptor-homologous molecule expressed on Th2 cells (CRTH2)	CHEMBL	=			https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL361812			Tchem	Homo sapiens
sulfobromophthalein	2531	Hematopoietic prostaglandin D synthase	Enzyme	O60760	HPGDS	HPGDS_HUMAN	4.57		IC50	Inhibition of human H-PGDS expressed in Escherichia coli BL21 assessed as rate of glutathione-chloro-dinitro benzene conjugation	CHEMBL	=			https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL453904			Tchem	Homo sapiens
sunitinib	2544	BMP-2-inducible protein kinase	Kinase	Q9NSY1	BMP2K	BMP2K_HUMAN	8.26		Kd	Binding constant for BIKE kinase domain	CHEMBL	=			https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL535			Tchem	Homo sapiens
sunitinib	2544	Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform	Kinase	Q16816	PHKG1	PHKG1_HUMAN	8.26		Kd	Binding constant for full-length PHKG1	CHEMBL	=			https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL535			Tchem	Homo sapiens
tranilast	2714	Hematopoietic prostaglandin D synthase	Enzyme	O60760	HPGDS	HPGDS_HUMAN	4.94		IC50	Inhibition of glutathione-S-transferase activity of prostaglandin D2 synthase	CHEMBL	=			https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL415324			Tchem	Homo sapiens
warfarin	2847	Vitamin K epoxide reductase complex subunit 1-like protein 1	Enzyme	Q8N0U8	VKORC1L1	VKORL_HUMAN	4.28399658203125		Ki		SCIENTIFIC LITERATURE	=			http://www.ncbi.nlm.nih.gov/pubmed/23928358			Tbio	Homo sapiens
somatostatin	2997	Somatostatin receptor type 3	GPCR	P32745	SSTR3	SSR3_HUMAN	10		Ki	Inhibition of [125 I -Tyr]SRIF-14 binding to membranes isolated from CHO-K1 cells expressing cloned human SRIF receptor (sst-3) subtype	CHEMBL	=	1	IUPHAR	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1823872	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2019	AGONIST	Tclin	Homo sapiens
ruboxistaurin	3533	BMP-2-inducible protein kinase	Kinase	Q9NSY1	BMP2K	BMP2K_HUMAN	6.37		Kd	Binding constant for BIKE kinase domain	CHEMBL	=			https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL91829			Tchem	Homo sapiens
ruboxistaurin	3533	Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform	Kinase	Q16816	PHKG1	PHKG1_HUMAN	5.57		Kd	Average Binding Constant for PHkg1; NA=Not Active at 10 uM	CHEMBL	=			https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL91829			Tchem	Homo sapiens
pazopanib	4118	BMP-2-inducible protein kinase	Kinase	Q9NSY1	BMP2K	BMP2K_HUMAN	5.06		Kd	Binding constant for BIKE kinase domain	CHEMBL	=			https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL477772			Tchem	Homo sapiens
