yourlist:M202009175C475328CEF75220C360D524E9D456CE457C3CW	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P11388	P11388	TOP2A_HUMAN	reviewed	DNA topoisomerase 2-alpha (EC 5.6.2.2) (DNA topoisomerase II, alpha isozyme)	TOP2A TOP2	Homo sapiens (Human)	1531
Q96AC1	Q96AC1	FERM2_HUMAN	reviewed	Fermitin family homolog 2 (Kindlin-2) (Mitogen-inducible gene 2 protein) (MIG-2) (Pleckstrin homology domain-containing family C member 1) (PH domain-containing family C member 1)	FERMT2 KIND2 MIG2 PLEKHC1	Homo sapiens (Human)	680
P49674	P49674	KC1E_HUMAN	reviewed	Casein kinase I isoform epsilon (CKI-epsilon) (CKIe) (EC 2.7.11.1)	CSNK1E	Homo sapiens (Human)	416
Q99615	Q99615	DNJC7_HUMAN	reviewed	DnaJ homolog subfamily C member 7 (Tetratricopeptide repeat protein 2) (TPR repeat protein 2)	DNAJC7 TPR2 TTC2	Homo sapiens (Human)	494
Q16363	Q16363	LAMA4_HUMAN	reviewed	Laminin subunit alpha-4 (Laminin-14 subunit alpha) (Laminin-8 subunit alpha) (Laminin-9 subunit alpha)	LAMA4	Homo sapiens (Human)	1823
Q9NQG5	Q9NQG5	RPR1B_HUMAN	reviewed	Regulation of nuclear pre-mRNA domain-containing protein 1B (Cell cycle-related and expression-elevated protein in tumor)	RPRD1B C20orf77 CREPT	Homo sapiens (Human)	326
Q00341	Q00341	VIGLN_HUMAN	reviewed	Vigilin (High density lipoprotein-binding protein) (HDL-binding protein)	HDLBP HBP VGL	Homo sapiens (Human)	1268
P0DTC1	P0DTC1	R1A_SARS2	reviewed	Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (Leader protein); Non-structural protein 2 (nsp2) (p65 homolog); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL2-PRO) (Papain-like proteinase) (PL-PRO); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.69) (Main protease) (Mpro) (Non-structural protein 5) (nsp5) (SARS coronavirus main proteinase); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); Non-structural protein 11 (nsp11)]		Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	4405
P09601	P09601	HMOX1_HUMAN	reviewed	Heme oxygenase 1 (HO-1) (EC 1.14.14.18)	HMOX1 HO HO1	Homo sapiens (Human)	288
P35249	P35249	RFC4_HUMAN	reviewed	Replication factor C subunit 4 (Activator 1 37 kDa subunit) (A1 37 kDa subunit) (Activator 1 subunit 4) (Replication factor C 37 kDa subunit) (RF-C 37 kDa subunit) (RFC37)	RFC4	Homo sapiens (Human)	363
P30047	P30047	GFRP_HUMAN	reviewed	GTP cyclohydrolase 1 feedback regulatory protein (GFRP) (GTP cyclohydrolase I feedback regulatory protein) (p35)	GCHFR GFRP	Homo sapiens (Human)	84
P38117	P38117	ETFB_HUMAN	reviewed	Electron transfer flavoprotein subunit beta (Beta-ETF)	ETFB FP585	Homo sapiens (Human)	255
Q8WVV9	Q8WVV9	HNRLL_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein L-like (hnRNPLL) (Stromal RNA-regulating factor)	HNRNPLL HNRPLL SRRF BLOCK24	Homo sapiens (Human)	542
Q9UPT5	Q9UPT5	EXOC7_HUMAN	reviewed	Exocyst complex component 7 (Exocyst complex component Exo70)	EXOC7 EXO70 KIAA1067	Homo sapiens (Human)	735
